id,type,title,content,para,icon,receive_plat,reward_plat,subtitle_key
16111,2,Congrats on reaching Lv. 5!,Congrats commander; you have reached level 5!\n\nYou may gain EXP by consuming gold.\nResearching technologies in the War Room would cost plenty of gold; which is a fast way to level up.\n\nWhen the flask icon above the War Room turns yellow; it indicates that there is a technology you can upgrade.\nDon't forget to upgrade the techs.\n\nWhen you level up to Lv8; the fast merge function will be available;\n which is more convenient for you to merge units.\n\nAttacking the Dark Forces and Warhammers-4K on the World Map may gain you rich rewards; trust me that's one of the most efficient way to level up for beginners.\nCommander; you may explore on the World Map now!,,,,,
16116,2,code: title16116,code: content16116,,,,,
16117,2,code: title16117,N/A,,,,,
16118,2,code: title16118,N/A,,,,,
19066,8,You scouted [{0}]'s {1}.,battle,,,,,
19067,3,You attacked [{0}]'s {1},battle,,,,,
19068,8,{0} was scouted.,[{0}]{1} scouted your {2},,,,,
19069,3,Your garrisoned {0} was attacked,battle,,,,,
19070,15,Special Operations Individual Ranking Reward,Dear commander; you got No. {0} in the Special Operations Individual Ranking; please accept the following rewards:,,,,,
19071,15,Special Operations Alliance Ranking Rewards,Dear commander; your Alliance got No. {0} in the Special Operations; please accept the following rewards:,,,,,
19072,15,Special Operations Level Reward,Dear Commander; you left from your Alliance during the Special Operations; please accept the following event reward.,,,,,
19073,15,Special Operations Perfect Reward,Dear Commander: The Alliance Command is flawless and reached the max Level! You have earned the the Perfect reward! Congrats!,,,,,
19061,15,War of Odinium Result,Your Alliance ({0}pts) defeated [{1}] {2} Alliance ({3}pts) in this event. Please accept the following rewards:,,,,,
19062,15,War of Odinium Result,Your Alliance ({0}pts) got defeated by [{1}] {2} Alliance ({3}pts) in this event. Please accept the following rewards:,,,,,
19063,15,War of Odinium Participant Reward,Your Alliance won this game; please accept the following participant rewards:,,,,,
19064,15,War of Odinium Participant Reward,Your Alliance lost this game; please accept the following participant rewards:,,,,,
19065,15,War of Odinium Individual Reward,Your result in this event is as follows:\nTotal points:{0}\nFacility points:{1}\Gathering points:{2}\nOffensive points:{3}\nDefensive points:{4}\nCure:{5}\nTeleport:{6}\nAirdrop points:{7}\nYour rewards:,,,,,
19074,13,Bomb Truck Record,[{0}] {1} scouted you,1;2;3;6;7,,,,
19075,7,Bomb Truck got attacked,Dealt {0} DMG,,,,,
19076,15,Remaining Titanium Blue Coins,Commander; you have {0} remaining Titanium Blue Coins; which have been exchanged into equivalent Gems. Kindly accept them.,,,,,
16013,15,Treasure Guard damage ranking reward,Dear commander; \n\nYou have defeated the Treasure Guard and dealt {0} total damage. Your DMG Ranking is {1}; but you have defeated {2} Treasure Guards and reached the limit; you won't be able to get the ranking reward.,,,,,
19077,15,War of Odinium - Failed to find an opponent,Commander; we couldn't find you an opponent; sorry that you can't participate in this competition. Please accept the following compensation,,,,,
19078,15,War of Odinium Individual,Commander; you got No. {0} in the individual Ranking; please accept the following rewards:,,,,,
19079,15,First Ruin Holder Reward,Congrats! The {2} ({0};{1}) is held by your Alliance now. Please accept the reward for the First Holder of this Ruin below:,,,,,
19080,2,System Move,Dear commander; due to the overlap of facilities on the World Map; we have moved your base. Please kindly accept the compensation below.,,,,,
19081,2,Alliance Fortress Remove Compensation,Dear commander; due to the overlap of facilities on the World Map; we have removed your Alliance Fortress. Please kindly accept the compensation below.,,,,,
19082,9,Spawn in Ruin Areas,Commander {0} summoned the Ruin: {3} ({1};{2}),,,,,
19084,9,Your Alliance Abandoned the Ruins,{0} abandoned the {3} ({1};{2}),,,,,
19083,15,Baking Master Ranking Reward,Dear Commander; you got No. {0} in the Individual Ranking of the Baking Master event. Congratulations! Please accept the following rewards:,,,,,
19086,15,SVS Individual Ranking,Commander; you got No. {0} in the Ranked SVS. Please accept your rewards:,,,,,
19085,15,Location of the Battlefield,The Leader {0} has selected the Battlefield for the Cross-warzone Ranking (SVS Ranking). Details will be disclosed after the Battle Stage begins,,,,,
19087,15,mail_titie19087,mail_content19087,,,,,
19088,7,mail_title19088,mail_content19088,,,,,
19089,7,mail_title19089,Version too old: please update to the laTest version to read this report.,,,,,
19090,15,Ruins Guard Ranking Rewards,The Boss in {2} ({0};{1}) was killed; and you got No. {3}. Kindly accept rewards below,,,,,
19091,15,Building HP Ranking,The Building HP of the {2} ({0};{1}) has dropped to 0; and you got No. {3}. Kindly accept rewards below,,,,,
19092,15,Ruins Finishing Blow,You dealt the finishing blow to the {2} ({0};{1}); and your Alliance took over this ruins.,,,,,
19093,15,Finishing Blow Alliance Can't Hold More Ruins,You dealt the finishing blow to the {2} ({0};{1}); but your Alliance couldn't take any more Ruins; in this case; the ownership of this Ruins will decided by the Individual Damage Ranking,,,,,
19094,7,You attacked the Ruins Guard,mail_content19094,,,,,
19095,7,You have attacked the Ruins,mail_content19095,,,,,
19096,15,A note from Emergency Repair,The Emergency Repair has despawned and the units that didn't get repaired are now "damaged". Here are the resources returned,,,,,
19097,9,An Alliance Infrastructure has been built,{0} has been successfully built; small wins can boost gains!\nLocation: {1}\nBuilder: {2}\nAlliance Token Cost: {3},,,,,
90001,15,Event Completed - Eliminate Remnant,You completed the event - Eliminate Remnant. Please accept the rewards below.,,,,,
90002,15,Event Completed - Destroy Fort,You completed the event - Destroy Fort. Please accept the rewards below.,,,,,
90003,15,Event Completed - Legion Treasure,You completed the event - Legion Treasure. Please accept the rewards below.,,,,,
90004,15,Commission Completed,You completed the event - Individual Commission. Please accept the rewards below.,,,,,
90005,15,Dark Legion Treasure Reward,You found the following items in Dark Legion's buried treasure,,,,,
90006,15,Reward for Helping Allies,You helped an Alliance member to dig out the Dark Legion's buried treasure. Thank you!! Please accept the rewards below.,,,,,
90007,15,Commission Reward,You completed the commission. Please accept the rewards below.,,,,,
110003,12,Warhammer Rally Report,mail_content110003,1;2;3;20,,,,Rally and attack Warhammers for the highest tier rewards
9025,2,Alliance Droid Notice,Sorry; you have been in this Alliance for less than 24 hours; so you cannot get rewards from challenging the Droid.,,,,,
9026,2,Droid - Failed to Summon,Dear commander;\n\nHere are the most common causes of failure:\n\na) There is no room within the range of Alliance Fortress. \nb) The Alliance Fortress no longer exists\n\nPlease make an arrangement to summon the Droid again.,,,,,
9027,2,Alliance Droid Help Reward,Commander;\n\nThank you for your assistance in attacking the Droid of the other Alliance. Please accept the rewards below!,,,,,
19100,15,Flip Card Ranking Rewards,Congratulations; commander. You got No. {0} in the Flippy Card Individual Ranking; please accept the following rewards:,,,,,
19101,15,The Gem Manager event has ended,The Gem Manager event has ended; here are the Gems you didn't collect. Thank you for your support.,,,,,
9028,2,Alliance Droid Support Request,Dear commander;\n\nYou requested support from the other Alliances; so all Alliance members will get the bottom-tier Damage Reward. Please accept the rewards below!,,,,,
22001,2,Failed to Gather,Failed to gather in the resource tile. The tile has been taken.,,,,,
5021,2,mail_title5021,mail_content5021,,,,,
19102,15,Gem Refund for Cybertron Disk,Commander; you still have {0} unused Cybertron Disks from the Cybertron Box event. Now that the event has ended; we will remove the Disks and compensate you equivalent Gems. Thank you for your support!,,,,,
5028,2,Equivalent Token Compensation,Dear Commander;\nWe found that you have purchased a duplicate Holiday Party Decor Set. Since the decor cannot be upgraded; we will remove the duplicate decor and compensate tokens at an equivalent value. Kindly accept the tokens below.\nPlease use the tokens to redeem in the Holiday Party Decor Set Redeem Store. Unused tokens will be removed after the event; so please use it as soon as possible.\n\nSorry for the inconvenience caused; thank you for your understanding.\nTop War Support Team,,,,,
110004,12,Rally Against Dark Legion Fort on World Map,mail_content110004,1;2;3;20,,,,
19103,15,Star Emblem Reclaim,Commander; You have {0} unused Star Emblems by the end of Treasure of Stars event; so we are exchanging the Emblems with an equivalent amount of Gems. Please accept the Gems below.,,,,,
80034,2,mail_title80034,Commander;\nWe found that you purchased a Gold Harvester Pack before; since we've made the adjustment to the Gold Harvester; please kindly accept the compensation for the pack you purchased below. The compensation formula is as follows: \n\nLevel     Gems\n1            0 Gem\n2            120 Gems\n3            240 Gems\n4            1;200 Gems\n5            1;000 Gems\n6            1;960 Gems\n\nFor instance; if you're level 5 and purchased packs for Level 2; 3; 4 and 5 before; you will receive 120 + 240 + 1;200 + 1;000 Gems. ***If you've spent Gems on the Gold Harvester; you'll get compensated Gems as well; the amount will be the same as what you've spent.\n\nThank you for your support. Have a nice day.\nTop War Support Team,,,,,
19104,2,Application Activation Reward,Dear Commander; you have successfully activated the APP version; now you can switch between the APP version and the Facebook instant game. Thank you for your support. Please accept the rewards,,,,,
5029,2,Wheel of Fun Reward,You have unclaimed Wheel of Fun rewards; kindly accept them below.,,,,,
80037,2,Gold Harvester Compensation II,Dear Commander;\nWe found that you upgraded the gold harvesters with gems in the past; and the gems compensated in the last mail does not match what you've spent. Below please accept the rest of the compensation. Sorry for the inconvenience caused.\n\nThank you and have a lovely day!\nTop War Support Team,,,,,
19106,2,Feedback on Transfer Application,Dear commander. We are glad to inform you that your transfer application has been approved by the leader of Top Warzone #{0}. So next before transferring to the target server; please arrange your time to meet with the transfer requirements.\nHave fun!!,,,,,
19107,2,Feedback on Transfer Application,Dear commander. We are sorry to inform you that your transfer application has been rejected by the leader of Top Warzone #{0}. So you cannot transfer to this server at the moment.\nThank you for your support.,,,,,
19108,15,Check-in Boost Event has ended,The Check-in Boost Event has ended and below are the rewards you did not claim. Thank you for your support!,,,,,
19109,2,Beginner Transfer Item Removed,Dear commander: We will remove the [New Recruit Transfer Order] from your inventory since you are no longer a beginner commander (commander level and account creation date). Thank you very much for your support.,,,,,
81100,15,Thanksgiving Challenge has ended,Dear commander; the Thanksgiving Challenge has ended. Please see below for any unclaimed rewards you may have. Thank you.,,,,,
19115,15,Cyber Token Converted,Commander; you have {0} remaining Cyber Tokens; which have been exchanged into equivalent Gems. Kindly accept them.,,,,,
19110,15,Top-star Support Reward,Dear Commander; the Warzone (server) you supported gained you the following rewards. Please find the {0} Top-star Tokens in the relevant event store. Kindly use them in time.,,,,,
19111,15,Top-star Warzone Reward,Dear commander; your Warzone got 1st Place in this championship. You are awesome; congratulations!! Please accept the following rewards.,,,,,
19112,15,Top-star Warzone Reward,Dear commander; your Warzone got 2nd Place in this championship. Congratulations!! Please accept the following rewards.,,,,,
19113,15,Top-star Warzone Reward,Dear commander; your Warzone got No. {0}-{1} in this championship. Thank you for your participation. Please accept the following rewards.,,,,,
19114,15,Top-star Gift Reward,Dear Commander; thank you very much for your outstanding performance in the tournament! The {0} Gift has been sent to you by the Warzone Leader.,,,,,
20001,15,Arms Race Ranking Reward,Commander; the new Arms Race has begun. Here's the ranking reward you received in the last stage. Good luck!,,,,,
82000,15,Arms Race Reward Issue,Dear Commander; \nYou just obtained a ranking prize for the Arms Race as a result of a system glitch; and the award comprises wrongly positioned skins; special effects; or queues. The issue has been resolved and we are sorry that we have to retrieve the reward and replace it with equivalent Orange Universal Shards. Kindly find the items below. \n\nWe are very sorry for the inconvenience caused to you; thank you for your understanding and support.\nTop War Support Team,,,,,
19116,15,Top-star Warzone Reward,Dear commander; your Warzone was the Top 4 servers in this championship. Congratulations!! Please accept the following rewards.,,,,,
941212,2,Profession Talent Reset,Dear commander:\nWe have reset your profession; please find the returned resource items in your Inventory.,,,,,
667,2,Purchase successfully,Xin chào; {0} Phiếu Mua của Bạn đã được nạp thành công vào trò chơi. Xin vui lòng kiểm tra.,,,,,
666,15,mail_title666,mail_content666,,,,,
668,15,mail_title668,mail_content668,,,,,
110007,12,The Fierce Siege,mail_content110007,,,,,
19117,15,Lucky Arcee has ended,Commander; You have {0} unused #446 Paint by the end of Lucky Arcee event; so we are exchanging the Paints with an equivalent amount of Gems. Please accept the Gems below.,,,,,
19118,15,Sharkticon Carrier Ship Defeated,You've made the finishing blow to the Sharkticon Carrier Ship! Please accept the extra reward below:,,,,,
30001,11,Congratulations; you have successfully obtained Empire Relics No.{0},The battle report is as follows:,1;2;3;20,,,,
30002,11,Sorry; you failed to obtain the Empire Relics No. {0},The battle report is as follows:,1;2;3;20,,,,
30003,15,First Clear reward for Empire Relics No. {0},Congratulations! You've obtained the Empire Relics No. {0}. Please kindly accept the rewards below.,,,,,
19127,15,mail_title19127,mail_content19127,,,,,
19120,15,Ark ConTest Rewards,Congratulations for successfully occupying {0}! All members get the following rewards:,,,,,
19121,15,Ark ConTest Rewards,Congratulations to your alliance for successfully occupying {0}! As you occupied the Ark and earned points; you will receive an additional Vanguard reward:,,,,,
19122,11,Ark Guard Report,mail_content19122,1;2;3;20,,,,
19123,3,You attacked {0}'s Ark tile.,mail_content19123,1;2;3;4;5,,,,
19124,3,{0} attacked your Ark tile.,mail_content19124,1;2;3;4;5,,,,
19125,8,You scouted {0}'s Ark tile.,mail_content19125,1;2;3;6;7,,,,
19126,8,Ark tile was scouted.,{0} scouted your Ark tile.,1;2;3;6;7,,,,
80035,2,mail_title80034,mail_content80035,,,,,
80036,2,mail_title80035,mail_content80036,,,,,
