id,type,group,team,exchange,reward,reward2,value,exhibition,effect
int,int,int,int,int,int,int,string,string,string
346,12,35,1,2210035,2211002,2212035,21200|420|2010,3|2|3;1,0|2|3
347,12,36,1,2210036,2211002,2212036,6800|420|610,3;1|2|3,0|2|3
348,12,37,1,2210037,2211002,2212037,7700|420|2010,3|2|3;1,0|2|3
349,12,38,1,2210038,2211002,2212038,7400|420|2010,3;1|2|3;1,0|2|3
350,12,39,1,2210039,2211002,2212039,15200|420|2010,3|2|3;1,0|2|3
351,12,40,1,2210040,2211002,2212040,21200|420|2010,3|2|3;1,0|2|3
352,12,41,1,2210041,2211002,2212041,13400|420|2010,3;1|2|3;1,0|2|3
353,13,1,1,,2141001,,120|200|100,2|1|1,2|1|1
354,13,2,1,2200102,2201002,2202002,320|320|210,2|2|1,0|2|1
355,13,3,1,2200103,2201002,2202003,1200|320|210,2|2|1,0|2|1
356,13,4,1,2200104,2201002,2202004,700|320|210,2|2|1,0|2|1
357,13,5,1,2200105,2201002,2202005,950|320|110,2;1|2|1,0|2|1
358,13,6,1,2200106,2201002,2202006,800|320|210,2|2|1,0|2|1
359,13,7,1,2200107,2201002,2202007,1700|320|110,2|2|1,0|2|1
360,13,8,1,2200108,2201002,2202008,2200|320|610,3;1|2|2,0|2|2
361,13,9,1,2200109,2201002,2202009,950|320|210,2;1|2|1,0|2|1
362,13,10,1,2200110,2201002,2202010,1200|320|210,2|2|1,0|2|1
363,13,11,1,2200111,2201002,2202011,3200|320|610,3|2|2,0|2|2
364,13,12,1,2200112,2201002,2202012,1700|320|210,2|2|1,0|2|1
365,13,13,1,2200113,2201002,2202013,6200|320|210,3|2|2,0|2|2
366,13,14,1,2200114,2201002,2202014,2600|320|2010,3|2|2,0|2|2
367,13,15,1,2200115,2201002,2202015,2700|320|610,3|2|2,0|2|2
368,13,16,1,2200116,2201002,2202016,6700|320|1010,3|2|2;1,0|2|2
369,13,17,1,2200117,2201002,2202017,18200|320|2010,3;1|2|3;1,0|2|3
370,13,18,1,2200118,2201002,2202018,3000|320|610,3;1|2|2,0|2|2
371,13,19,1,2200119,2201002,2202019,950|320|110,2;1|2|1,0|2|1
372,13,20,1,2200120,2201002,2202020,2200|320|610,3;1|2|2,0|2|2
373,13,21,1,2200121,2201002,2202021,6700|320|810,3|2|2,0|2|2
374,13,22,1,2200122,2201002,2202022,6200|320|210,3|2|2,0|2|2
375,13,23,1,2200123,2201002,2202023,3000|320|610,3;1|2|2,0|2|2
376,13,24,1,2200124,2201002,2202024,6200|320|2010,3|2|3;1,0|2|3
377,13,25,1,2200125,2201002,2202025,2200|320|610,3;1|2|2,0|2|2
378,13,26,1,2200126,2201002,2202026,2600|320|2010,3|2|2,0|2|2
379,13,27,1,2200127,2201002,2202027,6200|320|2010,3|2|3;1,0|2|3
380,13,28,1,2200128,2201002,2202028,2600|320|2010,3|2|2,0|2|2
381,13,29,1,2200129,2201002,2202029,12200|320|2010,3|2|3;1,0|2|3
382,14,1,1,,2151001,,120|200|100,2|1|1,2|1|1
383,14,2,1,2210102,2211002,2212002,320|420|210,2|2|1,0|2|1
384,14,3,1,2210103,2211002,2212003,800|420|210,2|2|1,0|2|1
385,14,4,1,2210104,2211002,2212004,950|420|160,2;1|2|1,0|2|1
386,14,5,1,2210105,2211002,2212005,2200|420|610,3|2|2,0|2|2
387,14,6,1,2210106,2211002,2212006,3200|420|1210,3|2|2,0|2|2
388,14,7,1,2210107,2211002,2212007,6800|420|2010,3;1|2|3;1,0|2|3
389,14,8,1,2210108,2211002,2212008,3000|420|610,3;1|2|2,0|2|2
390,14,9,1,2210109,2211002,2212009,7700|420|2010,3|2|3;1,0|2|3
391,14,10,1,2210110,2211002,2212010,3200|420|610,3;1|2|2,0|2|2
392,14,11,1,2210111,2211002,2212011,5200|420|610,3;1|2|2,0|2|2
393,14,12,1,2210112,2211002,2212012,6800|420|610,3;1|2|3,0|2|3
394,14,13,1,2210113,2211002,2212013,1400|420|610,3|2|2,0|2|2
395,14,14,1,2210114,2211002,2212014,2600|420|1010,3|2|2;1,0|2|2
396,14,15,1,2210115,2211002,2212015,4200|420|10510,3|2|3,0|2|3
397,14,16,1,2210116,2211002,2212016,12200|420|3610,3|2|3,0|2|3
398,14,17,1,2210117,2211002,2212017,6200|420|2010,3|2|3;1,0|2|3
399,14,18,1,2210118,2211002,2212018,13000|420|2010,3|2|3;1,0|2|3
400,14,19,1,2210119,2211002,2212019,3200|420|610,3;1|2|2,0|2|2
401,14,20,1,2210120,2211002,2212020,18200|420|2010,3|2|3;1,0|2|3
402,14,21,1,2210121,2211002,2212021,18200|420|2010,3|2|3;1,0|2|3
403,14,22,1,2210122,2211002,2212022,2600|420|610,3|2|2,0|2|2
404,14,23,1,2210123,2211002,2212023,6200|420|2010,3|2|3;1,0|2|3
405,14,24,1,2210124,2211002,2212024,13000|420|2010,3|2|3;1,0|2|3
406,14,25,1,2210125,2211002,2212025,6200|420|610,3|2|2,0|2|2
407,14,26,1,2210126,2211002,2212026,6200|420|8010,3|2|3,0|2|3
408,14,27,1,2210127,2211002,2212027,6200|420|2010,3|2|3;1,0|2|3
409,14,28,1,2210128,2211002,2212028,6200|420|8010,3|2|3,0|2|3
410,14,29,1,2210129,2211002,2212029,13700|420|2010,3|2|3;1,0|2|3
411,14,30,1,2210130,2211002,2212030,21200|420|2010,3|2|3;1,0|2|3
412,14,31,1,2210131,2211002,2212031,6800|420|610,3;1|2|3,0|2|3
413,14,32,1,2210132,2211002,2212032,7700|420|2010,3|2|3;1,0|2|3
414,14,33,1,2210133,2211002,2212033,7400|420|2010,3;1|2|3;1,0|2|3
415,14,34,1,2210134,2211002,2212034,15200|420|2010,3|2|3;1,0|2|3
416,14,35,1,2210135,2211002,2212035,21200|420|2010,3|2|3;1,0|2|3
417,14,36,1,2210136,2211002,2212036,6800|420|610,3;1|2|3,0|2|3
418,14,37,1,2210137,2211002,2212037,7700|420|2010,3|2|3;1,0|2|3
419,14,38,1,2210138,2211002,2212038,7400|420|2010,3;1|2|3;1,0|2|3
420,14,39,1,2210139,2211002,2212039,15200|420|2010,3|2|3;1,0|2|3
421,14,40,1,2210140,2211002,2212040,21200|420|2010,3|2|3;1,0|2|3
422,14,41,1,2210141,2211002,2212041,13400|420|2010,3;1|2|3;1,0|2|3
423,15,1,1,,2141001,,120|200|100,2|1|1,2|1|1
424,15,2,1,2200202,2203002,2202002,320|320|210,2|2|1,0|2|1
425,15,3,1,2200203,2203002,2202003,1200|320|210,2|2|1,0|2|1
426,15,4,1,2200204,2203002,2202004,700|320|210,2|2|1,0|2|1
427,15,5,1,2200205,2203002,2202005,950|320|110,2;1|2|1,0|2|1
428,15,6,1,2200206,2203002,2202006,800|320|210,2|2|1,0|2|1
429,15,7,1,2200207,2203002,2202007,1700|320|110,2|2|1,0|2|1
430,15,8,1,2200208,2203002,2202008,2200|320|610,3;1|2|2,0|2|2
431,15,9,1,2200209,2203002,2202009,950|320|210,2;1|2|1,0|2|1
432,15,10,1,2200210,2203002,2202010,1200|320|210,2|2|1,0|2|1
433,15,11,1,2200211,2203002,2202011,3200|320|610,3|2|2,0|2|2
434,15,12,1,2200212,2203002,2202012,1700|320|210,2|2|1,0|2|1
435,15,13,1,2200213,2203002,2202013,6200|320|210,3|2|2,0|2|2
436,15,14,1,2200214,2203002,2202014,2600|320|2010,3|2|2,0|2|2
437,15,15,1,2200215,2203002,2202015,2700|320|610,3|2|2,0|2|2
438,15,16,1,2200216,2203002,2202016,6700|320|1010,3|2|2;1,0|2|2
439,15,17,1,2200217,2203002,2202017,18200|320|2010,3;1|2|3;1,0|2|3
440,15,18,1,2200218,2203002,2202018,3000|320|610,3;1|2|2,0|2|2
441,15,19,1,2200219,2203002,2202019,950|320|110,2;1|2|1,0|2|1
442,15,20,1,2200220,2203002,2202020,2200|320|610,3;1|2|2,0|2|2
443,15,21,1,2200221,2203002,2202021,6700|320|810,3|2|2,0|2|2
444,15,22,1,2200222,2203002,2202022,6200|320|210,3|2|2,0|2|2
445,15,23,1,2200223,2203002,2202023,3000|320|610,3;1|2|2,0|2|2
446,15,24,1,2200224,2203002,2202024,6200|320|2010,3|2|3;1,0|2|3
447,15,25,1,2200225,2203002,2202025,2200|320|610,3;1|2|2,0|2|2
448,15,26,1,2200226,2203002,2202026,2600|320|2010,3|2|2,0|2|2
449,15,27,1,2200227,2203002,2202027,6200|320|2010,3|2|3;1,0|2|3
450,15,28,1,2200228,2203002,2202028,2600|320|2010,3|2|2,0|2|2
451,15,29,1,2200229,2203002,2202029,12200|320|2010,3|2|3;1,0|2|3
452,16,1,1,,2151001,,120|200|100,2|1|1,2|1|1
453,16,2,1,2210202,2213002,2212002,320|420|210,2|2|1,0|2|1
454,16,3,1,2210203,2213002,2212003,800|420|210,2|2|1,0|2|1
455,16,4,1,2210204,2213002,2212004,950|420|160,2;1|2|1,0|2|1
456,16,5,1,2210205,2213002,2212005,2200|420|610,3|2|2,0|2|2
457,16,6,1,2210206,2213002,2212006,3200|420|1210,3|2|2,0|2|2
458,16,7,1,2210207,2213002,2212007,6800|420|2010,3;1|2|3;1,0|2|3
459,16,8,1,2210208,2213002,2212008,3000|420|610,3;1|2|2,0|2|2
460,16,9,1,2210209,2213002,2212009,7700|420|2010,3|2|3;1,0|2|3
461,16,10,1,2210210,2213002,2212010,3200|420|610,3;1|2|2,0|2|2
462,16,11,1,2210211,2213002,2212011,5200|420|610,3;1|2|2,0|2|2
463,16,12,1,2210212,2213002,2212012,6800|420|610,3;1|2|3,0|2|3
464,16,13,1,2210213,2213002,2212013,1400|420|610,3|2|2,0|2|2
465,16,14,1,2210214,2213002,2212014,2600|420|1010,3|2|2;1,0|2|2
466,16,15,1,2210215,2213002,2212015,4200|420|10510,3|2|3,0|2|3
467,16,16,1,2210216,2213002,2212016,12200|420|3610,3|2|3,0|2|3
468,16,17,1,2210217,2213002,2212017,6200|420|2010,3|2|3;1,0|2|3
469,16,18,1,2210218,2213002,2212018,13000|420|2010,3|2|3;1,0|2|3
470,16,19,1,2210219,2213002,2212019,3200|420|610,3;1|2|2,0|2|2
471,16,20,1,2210220,2213002,2212020,18200|420|2010,3|2|3;1,0|2|3
472,16,21,1,2210221,2213002,2212021,18200|420|2010,3|2|3;1,0|2|3
473,16,22,1,2210222,2213002,2212022,2600|420|610,3|2|2,0|2|2
474,16,23,1,2210223,2213002,2212023,6200|420|2010,3|2|3;1,0|2|3
475,16,24,1,2210224,2213002,2212024,13000|420|2010,3|2|3;1,0|2|3
476,16,25,1,2210225,2213002,2212025,6200|420|610,3|2|2,0|2|2
477,16,26,1,2210226,2213002,2212026,6200|420|8010,3|2|3,0|2|3
478,16,27,1,2210227,2213002,2212027,6200|420|2010,3|2|3;1,0|2|3
479,16,28,1,2210228,2213002,2212028,6200|420|8010,3|2|3,0|2|3
480,16,29,1,2210229,2213002,2212029,13700|420|2010,3|2|3;1,0|2|3
481,16,30,1,2210230,2213002,2212030,21200|420|2010,3|2|3;1,0|2|3
482,16,31,1,2210231,2213002,2212031,6800|420|610,3;1|2|3,0|2|3
483,16,32,1,2210232,2213002,2212032,7700|420|2010,3|2|3;1,0|2|3
484,16,33,1,2210233,2213002,2212033,7400|420|2010,3;1|2|3;1,0|2|3
485,16,34,1,2210234,2213002,2212034,15200|420|2010,3|2|3;1,0|2|3
486,16,35,1,2210235,2213002,2212035,21200|420|2010,3|2|3;1,0|2|3
487,16,36,1,2210236,2213002,2212036,6800|420|610,3;1|2|3,0|2|3
488,16,37,1,2210237,2213002,2212037,7700|420|2010,3|2|3;1,0|2|3
489,16,38,1,2210238,2213002,2212038,7400|420|2010,3;1|2|3;1,0|2|3
490,16,39,1,2210239,2213002,2212039,15200|420|2010,3|2|3;1,0|2|3
491,16,40,1,2210240,2213002,2212040,21200|420|2010,3|2|3;1,0|2|3
492,16,41,1,2210241,2213002,2212041,13400|420|2010,3;1|2|3;1,0|2|3
493,17,1,1,,2141001,,120|200|100,2|1|1,2|1|1
494,17,2,1,2200302,2204002,2202002,320|320|210,2|2|1,0|2|1
495,17,3,1,2200303,2204002,2202003,1200|320|210,2|2|1,0|2|1
496,17,4,1,2200304,2204002,2202004,700|320|210,2|2|1,0|2|1
497,17,5,1,2200305,2204002,2202005,950|320|110,2;1|2|1,0|2|1
498,17,6,1,2200306,2204002,2202006,800|320|210,2|2|1,0|2|1
499,17,7,1,2200307,2204002,2202007,1700|320|110,2|2|1,0|2|1
500,17,8,1,2200308,2204002,2202008,2200|320|610,3;1|2|2,0|2|2
501,17,9,1,2200309,2204002,2202009,950|320|210,2;1|2|1,0|2|1
502,17,10,1,2200310,2204002,2202010,1200|320|210,2|2|1,0|2|1
503,17,11,1,2200311,2204002,2202011,3200|320|610,3|2|2,0|2|2
504,17,12,1,2200312,2204002,2202012,1700|320|210,2|2|1,0|2|1
505,17,13,1,2200313,2204002,2202013,6200|320|210,3|2|2,0|2|2
506,17,14,1,2200314,2204002,2202014,2600|320|2010,3|2|2,0|2|2
507,17,15,1,2200315,2204002,2202015,2700|320|610,3|2|2,0|2|2
508,17,16,1,2200316,2204002,2202016,6700|320|1010,3|2|2;1,0|2|2
509,17,17,1,2200317,2204002,2202017,18200|320|2010,3;1|2|3;1,0|2|3
510,17,18,1,2200318,2204002,2202018,3000|320|610,3;1|2|2,0|2|2
511,17,19,1,2200319,2204002,2202019,950|320|110,2;1|2|1,0|2|1
512,17,20,1,2200320,2204002,2202020,2200|320|610,3;1|2|2,0|2|2
513,17,21,1,2200321,2204002,2202021,6700|320|810,3|2|2,0|2|2
514,17,22,1,2200322,2204002,2202022,6200|320|210,3|2|2,0|2|2
515,17,23,1,2200323,2204002,2202023,3000|320|610,3;1|2|2,0|2|2
516,17,24,1,2200324,2204002,2202024,6200|320|2010,3|2|3;1,0|2|3
517,17,25,1,2200325,2204002,2202025,2200|320|610,3;1|2|2,0|2|2
518,17,26,1,2200326,2204002,2202026,2600|320|2010,3|2|2,0|2|2
519,17,27,1,2200327,2204002,2202027,6200|320|2010,3|2|3;1,0|2|3
520,17,28,1,2200328,2204002,2202028,2600|320|2010,3|2|2,0|2|2
521,17,29,1,2200329,2204002,2202029,12200|320|2010,3|2|3;1,0|2|3
522,18,1,1,,2151001,,120|200|100,2|1|1,2|1|1
523,18,2,1,2210302,2214002,2212002,320|420|210,2|2|1,0|2|1
524,18,3,1,2210303,2214002,2212003,800|420|210,2|2|1,0|2|1
525,18,4,1,2210304,2214002,2212004,950|420|160,2;1|2|1,0|2|1
526,18,5,1,2210305,2214002,2212005,2200|420|610,3|2|2,0|2|2
527,18,6,1,2210306,2214002,2212006,3200|420|1210,3|2|2,0|2|2
528,18,7,1,2210307,2214002,2212007,6800|420|2010,3;1|2|3;1,0|2|3
529,18,8,1,2210308,2214002,2212008,3000|420|610,3;1|2|2,0|2|2
530,18,9,1,2210309,2214002,2212009,7700|420|2010,3|2|3;1,0|2|3
531,18,10,1,2210310,2214002,2212010,3200|420|610,3;1|2|2,0|2|2
532,18,11,1,2210311,2214002,2212011,5200|420|610,3;1|2|2,0|2|2
533,18,12,1,2210312,2214002,2212012,6800|420|610,3;1|2|3,0|2|3
534,18,13,1,2210313,2214002,2212013,1400|420|610,3|2|2,0|2|2
535,18,14,1,2210314,2214002,2212014,2600|420|1010,3|2|2;1,0|2|2
536,18,15,1,2210315,2214002,2212015,4200|420|10510,3|2|3,0|2|3
537,18,16,1,2210316,2214002,2212016,12200|420|3610,3|2|3,0|2|3
538,18,17,1,2210317,2214002,2212017,6200|420|2010,3|2|3;1,0|2|3
539,18,18,1,2210318,2214002,2212018,13000|420|2010,3|2|3;1,0|2|3
540,18,19,1,2210319,2214002,2212019,3200|420|610,3;1|2|2,0|2|2
541,18,20,1,2210320,2214002,2212020,18200|420|2010,3|2|3;1,0|2|3
542,18,21,1,2210321,2214002,2212021,18200|420|2010,3|2|3;1,0|2|3
543,18,22,1,2210322,2214002,2212022,2600|420|610,3|2|2,0|2|2
544,18,23,1,2210323,2214002,2212023,6200|420|2010,3|2|3;1,0|2|3
545,18,24,1,2210324,2214002,2212024,13000|420|2010,3|2|3;1,0|2|3
546,18,25,1,2210325,2214002,2212025,6200|420|610,3|2|2,0|2|2
547,18,26,1,2210326,2214002,2212026,6200|420|8010,3|2|3,0|2|3
548,18,27,1,2210327,2214002,2212027,6200|420|2010,3|2|3;1,0|2|3
549,18,28,1,2210328,2214002,2212028,6200|420|8010,3|2|3,0|2|3
550,18,29,1,2210329,2214002,2212029,13700|420|2010,3|2|3;1,0|2|3
551,18,30,1,2210330,2214002,2212030,21200|420|2010,3|2|3;1,0|2|3
552,18,31,1,2210331,2214002,2212031,6800|420|610,3;1|2|3,0|2|3
553,18,32,1,2210332,2214002,2212032,7700|420|2010,3|2|3;1,0|2|3
554,18,33,1,2210333,2214002,2212033,7400|420|2010,3;1|2|3;1,0|2|3
555,18,34,1,2210334,2214002,2212034,15200|420|2010,3|2|3;1,0|2|3
556,18,35,1,2210335,2214002,2212035,21200|420|2010,3|2|3;1,0|2|3
557,18,36,1,2210336,2214002,2212036,6800|420|610,3;1|2|3,0|2|3
558,18,37,1,2210337,2214002,2212037,7700|420|2010,3|2|3;1,0|2|3
559,18,38,1,2210338,2214002,2212038,7400|420|2010,3;1|2|3;1,0|2|3
560,18,39,1,2210339,2214002,2212039,15200|420|2010,3|2|3;1,0|2|3
561,18,40,1,2210340,2214002,2212040,21200|420|2010,3|2|3;1,0|2|3
562,18,41,1,2210341,2214002,2212041,13400|420|2010,3;1|2|3;1,0|2|3
563,19,1,1,,2141001,,120|200|100,2|1|1,2|1|1
564,19,2,1,2200402,2204002,2202002,320|320|210,2|2|1,0|2|1
565,19,3,1,2200403,2204002,2202003,1200|320|210,2|2|1,0|2|1
566,19,4,1,2200404,2204002,2202004,700|320|210,2|2|1,0|2|1
567,19,5,1,2200405,2204002,2202005,950|320|110,2;1|2|1,0|2|1
568,19,6,1,2200406,2204002,2202006,800|320|210,2|2|1,0|2|1
569,19,7,1,2200407,2204002,2202007,1700|320|110,2|2|1,0|2|1
570,19,8,1,2200408,2204002,2202008,2200|320|610,3;1|2|2,0|2|2
571,19,9,1,2200409,2204002,2202009,950|320|210,2;1|2|1,0|2|1
572,19,10,1,2200410,2204002,2202010,1200|320|210,2|2|1,0|2|1
573,19,11,1,2200411,2204002,2202011,3200|320|610,3|2|2,0|2|2
574,19,12,1,2200412,2204002,2202012,1700|320|210,2|2|1,0|2|1
575,19,13,1,2200413,2204002,2202013,6200|320|210,3|2|2,0|2|2
576,19,14,1,2200414,2204002,2202014,2600|320|2010,3|2|2,0|2|2
577,19,15,1,2200415,2204002,2202015,2700|320|610,3|2|2,0|2|2
578,19,16,1,2200416,2204002,2202016,6700|320|1010,3|2|2;1,0|2|2
579,19,17,1,2200417,2204002,2202017,18200|320|2010,3;1|2|3;1,0|2|3
580,19,18,1,2200418,2204002,2202018,3000|320|610,3;1|2|2,0|2|2
581,19,19,1,2200419,2204002,2202019,950|320|110,2;1|2|1,0|2|1
582,19,20,1,2200420,2204002,2202020,2200|320|610,3;1|2|2,0|2|2
583,19,21,1,2200421,2204002,2202021,6700|320|810,3|2|2,0|2|2
584,19,22,1,2200422,2204002,2202022,6200|320|210,3|2|2,0|2|2
585,19,23,1,2200423,2204002,2202023,3000|320|610,3;1|2|2,0|2|2
586,19,24,1,2200424,2204002,2202024,6200|320|2010,3|2|3;1,0|2|3
587,19,25,1,2200425,2204002,2202025,2200|320|610,3;1|2|2,0|2|2
588,19,26,1,2200426,2204002,2202026,2600|320|2010,3|2|2,0|2|2
589,19,27,1,2200427,2204002,2202027,6200|320|2010,3|2|3;1,0|2|3
590,19,28,1,2200428,2204002,2202028,2600|320|2010,3|2|2,0|2|2
591,19,29,1,2200429,2204002,2202029,12200|320|2010,3|2|3;1,0|2|3
592,20,1,1,,2151001,,120|200|100,2|1|1,2|1|1
593,20,2,1,2210402,2214002,2212002,320|420|210,2|2|1,0|2|1
594,20,3,1,2210403,2214002,2212003,800|420|210,2|2|1,0|2|1
595,20,4,1,2210404,2214002,2212004,950|420|160,2;1|2|1,0|2|1
596,20,5,1,2210405,2214002,2212005,2200|420|610,3|2|2,0|2|2
597,20,6,1,2210406,2214002,2212006,3200|420|1210,3|2|2,0|2|2
598,20,7,1,2210407,2214002,2212007,6800|420|2010,3;1|2|3;1,0|2|3
599,20,8,1,2210408,2214002,2212008,3000|420|610,3;1|2|2,0|2|2
600,20,9,1,2210409,2214002,2212009,7700|420|2010,3|2|3;1,0|2|3
601,20,10,1,2210410,2214002,2212010,3200|420|610,3;1|2|2,0|2|2
602,20,11,1,2210411,2214002,2212011,5200|420|610,3;1|2|2,0|2|2
603,20,12,1,2210412,2214002,2212012,6800|420|610,3;1|2|3,0|2|3
604,20,13,1,2210413,2214002,2212013,1400|420|610,3|2|2,0|2|2
605,20,14,1,2210414,2214002,2212014,2600|420|1010,3|2|2;1,0|2|2
606,20,15,1,2210415,2214002,2212015,4200|420|10510,3|2|3,0|2|3
607,20,16,1,2210416,2214002,2212016,12200|420|3610,3|2|3,0|2|3
608,20,17,1,2210417,2214002,2212017,6200|420|2010,3|2|3;1,0|2|3
609,20,18,1,2210418,2214002,2212018,13000|420|2010,3|2|3;1,0|2|3
610,20,19,1,2210419,2214002,2212019,3200|420|610,3;1|2|2,0|2|2
611,20,20,1,2210420,2214002,2212020,18200|420|2010,3|2|3;1,0|2|3
612,20,21,1,2210421,2214002,2212021,18200|420|2010,3|2|3;1,0|2|3
613,20,22,1,2210422,2214002,2212022,2600|420|610,3|2|2,0|2|2
614,20,23,1,2210423,2214002,2212023,6200|420|2010,3|2|3;1,0|2|3
615,20,24,1,2210424,2214002,2212024,13000|420|2010,3|2|3;1,0|2|3
616,20,25,1,2210425,2214002,2212025,6200|420|610,3|2|2,0|2|2
617,20,26,1,2210426,2214002,2212026,6200|420|8010,3|2|3,0|2|3
618,20,27,1,2210427,2214002,2212027,6200|420|2010,3|2|3;1,0|2|3
619,20,28,1,2210428,2214002,2212028,6200|420|8010,3|2|3,0|2|3
620,20,29,1,2210429,2214002,2212029,13700|420|2010,3|2|3;1,0|2|3
621,20,30,1,2210430,2214002,2212030,21200|420|2010,3|2|3;1,0|2|3
622,20,31,1,2210431,2214002,2212031,6800|420|610,3;1|2|3,0|2|3
623,20,32,1,2210432,2214002,2212032,7700|420|2010,3|2|3;1,0|2|3
624,20,33,1,2210433,2214002,2212033,7400|420|2010,3;1|2|3;1,0|2|3
625,20,34,1,2210434,2214002,2212034,15200|420|2010,3|2|3;1,0|2|3
626,20,35,1,2210435,2214002,2212035,21200|420|2010,3|2|3;1,0|2|3
627,20,36,1,2210436,2214002,2212036,6800|420|610,3;1|2|3,0|2|3
628,20,37,1,2210437,2214002,2212037,7700|420|2010,3|2|3;1,0|2|3
629,20,38,1,2210438,2214002,2212038,7400|420|2010,3;1|2|3;1,0|2|3
630,20,39,1,2210439,2214002,2212039,15200|420|2010,3|2|3;1,0|2|3
631,20,40,1,2210440,2214002,2212040,21200|420|2010,3|2|3;1,0|2|3
632,20,41,1,2210441,2214002,2212041,13400|420|2010,3;1|2|3;1,0|2|3
633,21,1,1,,2141001,,120|200|100,2|1|1,2|1|1
634,21,2,1,2200502,2205002,2202002,320|320|210,2|2|1,0|2|1
635,21,3,1,2200503,2205002,2202003,1200|320|210,2|2|1,0|2|1
636,21,4,1,2200504,2205002,2202004,700|320|210,2|2|1,0|2|1
637,21,5,1,2200505,2205002,2202005,950|320|110,2;1|2|1,0|2|1
638,21,6,1,2200506,2205002,2202006,800|320|210,2|2|1,0|2|1
639,21,7,1,2200507,2205002,2202007,1700|320|110,2|2|1,0|2|1
640,21,8,1,2200508,2205002,2202008,2200|320|610,3;1|2|2,0|2|2
641,21,9,1,2200509,2205002,2202009,950|320|210,2;1|2|1,0|2|1
642,21,10,1,2200510,2205002,2202010,1200|320|210,2|2|1,0|2|1
643,21,11,1,2200511,2205002,2202011,3200|320|610,3|2|2,0|2|2
644,21,12,1,2200512,2205002,2202012,1700|320|210,2|2|1,0|2|1
645,21,13,1,2200513,2205002,2202013,6200|320|210,3|2|2,0|2|2
646,21,14,1,2200514,2205002,2202014,2600|320|2010,3|2|2,0|2|2
647,21,15,1,2200515,2205002,2202015,2700|320|610,3|2|2,0|2|2
648,21,16,1,2200516,2205002,2202016,6700|320|1010,3|2|2;1,0|2|2
649,21,17,1,2200517,2205002,2202017,18200|320|2010,3;1|2|3;1,0|2|3
650,21,18,1,2200518,2205002,2202018,3000|320|610,3;1|2|2,0|2|2
651,21,19,1,2200519,2205002,2202019,950|320|110,2;1|2|1,0|2|1
652,21,20,1,2200520,2205002,2202020,2200|320|610,3;1|2|2,0|2|2
653,21,21,1,2200521,2205002,2202021,6700|320|810,3|2|2,0|2|2
654,21,22,1,2200522,2205002,2202022,6200|320|210,3|2|2,0|2|2
655,21,23,1,2200523,2205002,2202023,3000|320|610,3;1|2|2,0|2|2
656,21,24,1,2200524,2205002,2202024,6200|320|2010,3|2|3;1,0|2|3
657,21,25,1,2200525,2205002,2202025,2200|320|610,3;1|2|2,0|2|2
658,21,26,1,2200526,2205002,2202026,2600|320|2010,3|2|2,0|2|2
659,21,27,1,2200527,2205002,2202027,6200|320|2010,3|2|3;1,0|2|3
660,21,28,1,2200528,2205002,2202028,2600|320|2010,3|2|2,0|2|2
661,21,29,1,2200529,2205002,2202029,12200|320|2010,3|2|3;1,0|2|3
662,22,1,1,,2151001,,120|200|100,2|1|1,2|1|1
663,22,2,1,2210502,2215002,2212002,320|420|210,2|2|1,0|2|1
664,22,3,1,2210503,2215002,2212003,800|420|210,2|2|1,0|2|1
665,22,4,1,2210504,2215002,2212004,950|420|160,2;1|2|1,0|2|1
666,22,5,1,2210505,2215002,2212005,2200|420|610,3|2|2,0|2|2
667,22,6,1,2210506,2215002,2212006,3200|420|1210,3|2|2,0|2|2
668,22,7,1,2210507,2215002,2212007,6800|420|2010,3;1|2|3;1,0|2|3
669,22,8,1,2210508,2215002,2212008,3000|420|610,3;1|2|2,0|2|2
670,22,9,1,2210509,2215002,2212009,7700|420|2010,3|2|3;1,0|2|3
671,22,10,1,2210510,2215002,2212010,3200|420|610,3;1|2|2,0|2|2
672,22,11,1,2210511,2215002,2212011,5200|420|610,3;1|2|2,0|2|2
673,22,12,1,2210512,2215002,2212012,6800|420|610,3;1|2|3,0|2|3
674,22,13,1,2210513,2215002,2212013,1400|420|610,3|2|2,0|2|2
675,22,14,1,2210514,2215002,2212014,2600|420|1010,3|2|2;1,0|2|2
676,22,15,1,2210515,2215002,2212015,4200|420|10510,3|2|3,0|2|3
677,22,16,1,2210516,2215002,2212016,12200|420|3610,3|2|3,0|2|3
678,22,17,1,2210517,2215002,2212017,6200|420|2010,3|2|3;1,0|2|3
679,22,18,1,2210518,2215002,2212018,13000|420|2010,3|2|3;1,0|2|3
680,22,19,1,2210519,2215002,2212019,3200|420|610,3;1|2|2,0|2|2
681,22,20,1,2210520,2215002,2212020,18200|420|2010,3|2|3;1,0|2|3
682,22,21,1,2210521,2215002,2212021,18200|420|2010,3|2|3;1,0|2|3
683,22,22,1,2210522,2215002,2212022,2600|420|610,3|2|2,0|2|2
684,22,23,1,2210523,2215002,2212023,6200|420|2010,3|2|3;1,0|2|3
685,22,24,1,2210524,2215002,2212024,13000|420|2010,3|2|3;1,0|2|3
686,22,25,1,2210525,2215002,2212025,6200|420|610,3|2|2,0|2|2
687,22,26,1,2210526,2215002,2212026,6200|420|8010,3|2|3,0|2|3
688,22,27,1,2210527,2215002,2212027,6200|420|2010,3|2|3;1,0|2|3
689,22,28,1,2210528,2215002,2212028,6200|420|8010,3|2|3,0|2|3
