id,name,desc,label,labelDesc,hero_type,skillDesc,fragmentsNumber,quality,type,war,warAdd,def,defAdd,command,upStar1,upStar2,upStar3,upStar4,skill,source,hero_icon,icon_harmony,hero_tachie,black_hero_icon,black_hero_name,backGround,recommendedSkill,is_show,show_hero_id,exclude,plat,jp_des,get_show,time,endtime,timeType,skin,active_skill,skin_use,exclude_item,bg_img,is_link_hero,cn_idle_name,idle_name,skintime,skinendtime,skinitemid,idle_action_control,new_active_skill,hero_ui_effect,land_fight_scale,exclusive,upgrade,hero_cap_skill_group_id,hero_cap_skill_des,can_show,hero_cap_sp_type,hero_cap_sp_parma
306,Lady Zizak,With its design and manufacture of classic fighter aircrafts; Zizak Metal Co. Ltd. has become the most reliable military equipment supply provider. And Lady Zizak; with her political skills; has become the Freedom League Air Force general. She has been promoting her Air Force coordinated operations; which emphasizes on involving several combat aircrafts in the same operation. She is glamorous and arrogant; and she doesn't care much about others. But no one dared to despise her; which has been proven in combats.,Shield of Zeus,,2,When using this hero in battle; your Air Force will become immune to damage; which is a good survival bonus for an Air Force with strong attack capabilities.,10,5,2,228,45,372,74,400,180|296|0;180|296|0;180|296|0;180|296|0;540|888|300,360|592|0;360|592|0;360|592|0;360|592|0;1080|1776|400,540|888|0;540|888|0;540|888|0;540|888|0;1620|2664|400,720|1184|0;720|1184|0;720|1184|0;720|1184|0;2160|3552|500,10306,1,image/hero_icon/hero_icon018,,hero_tachie018,image/hero_icon/black_hero_icon018,No. 306,3,,1,,1306,,jp_activityhero306,,,,2,306|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|30601|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,2211306,,,,,,,,,,,,,,306,When using this hero in battle; your Air Force will become immune to damage; which is a good survival bonus for an Air Force with strong attack capabilities.,1,,
307,Tian Mu,When Tian Mu was a student in the Department of Architecture; the Dark Legion invaded his home land. He gave up his study and entered the Air Force Academy to defend his country. This good-looking young man attract attention of the public through his talent in combat; and he has become a star; an influencer. After the "Night Fall" campaign; he got promoted to an air force commander and has been devoted to Great Air Force program. He is one of the youngest air force generals in the Freedom League.,Sky Guardian,天空守卫,2,When using this hero in battle; your Air Forces will obtain strong armor and slightly reduce DMG dealt by the enemy. This is a good survival bonus for an Air Force with strong fire power.,10,5,2,243,48,357,71,400,194|285|0;194|285|0;194|285|0;194|285|0;582|855|300,388|570|0;388|570|0;388|570|0;388|570|0;1164|1710|400,582|855|0;582|855|0;582|855|0;582|855|0;1746|2565|400,776|1140|0;776|1140|0;776|1140|0;776|1140|0;2328|3420|500,10307,1,image/hero_icon/hero_icon022,,hero_tachie022,image/hero_icon/black_hero_icon022,No. 307,3,,1,,,,,,,,2,307|2002|2003|2004|2005|2006|2307|2008|2009|2010|2012|2013|2014|2015|2016|30701|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,,,,,,,307,When using this hero in battle; your Air Forces will obtain strong armor and slightly reduce DMG dealt by the enemy. This is a good survival bonus for an Air Force with strong fire power.,1,,
308,Hartman,The best student in the Air Force Academy; the ace pilot in the Freedom League; as well as the calm and collected Air Force officer with impressive combat skills; these are the peer reviews for Hartman. But then; the "Skylark" changed everything; and Hartman has been keeping a considerable distance from her. For this reason; he refused to take the position in the Air Force Command; but continued to fight as a pilot on the front line instead.,The Predator,捕食者,2,When the hero is sent to battle; the Air Force unit has a chance to attack twice and deal a huge amount of damage.,10,5,1,452,91,148,28,400,364|112|0;364|112|0;364|112|0;364|112|0;1092|336|300,728|224|0;728|224|0;728|224|0;728|224|0;2184|672|400,1092|336|0;1092|336|0;1092|336|0;1092|336|0;3276|1008|400,1456|448|0;1456|448|0;1456|448|0;1456|448|0;4368|1344|500,10308,1,image/hero_icon/hero_icon308,,hero_tachie308,image/hero_icon/black_hero_icon308,No. 308,3,,1,,,,,,,,2,308|2002|2003|2004|2005|2006|2008|2009|2010|30801|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,,,,,,,308,When the hero is sent to battle; the Air Force unit has a chance to attack twice and deal a huge amount of damage.,1,,
309,Sauvage,Sauvage was an orphan who grew up in the army; he is introverted and silent; as if he was born that way. When he was sent to the Air Force Academy because of his outstanding physical fitness; he met Professor Edward; the Air Force General who took good care of him. He gained a lot of aviation knowledge; and it was the first time he had a feeling of belonging. After that; he started to talk with people around him; and flourished into an excellent pilot.,Rapid Lightning,黑色闪电,2,When this hero enters the battlefield; our Air Force troops will deal damage to massive enemy targets; and can damage additional targets.,10,5,1,468,95,132,25,400,379|101|0;379|101|0;379|101|0;379|101|0;1131|309|300,758|202|0;758|202|0;758|202|0;758|202|0;2262|618|400,1137|303|0;1137|303|0;1137|303|0;1137|303|0;3393|927|400,1516|404|0;1516|404|0;1516|404|0;1516|404|0;4524|1236|500,10309,2,image/hero_icon/hero_icon1309,,hero_tachie1309,image/hero_icon/black_hero_icon1309,No. 1309,3,,1,,1309,,jp_activityhero309,,,,2,2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2039|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2088,,1,2200029,,,,,,,,,,,,,,309,When this hero enters the battlefield; our Air Force troops will deal damage to massive enemy targets; and can damage additional targets.,1,,
1104,Tywin,Commander of the First Armored Division of the Freedom League. Skilled in lightning warfare. Troops under his command can move swiftly and have a chance to attack multiple times.,Earth Thunder,,0,Deploy the hero while fighting to make Army units have a chance to deal 2 attacks.,10,5,1,346,69,254,50,400,276|200|0;276|200|0;276|200|0;276|200|0;828|600|300,552|400|0;552|400|0;552|400|0;552|400|0;1656|1200|400,828|600|0;828|600|0;828|600|0;828|600|0;2484|1800|400,1104|800|0;1104|800|0;1104|800|0;1104|800|0;3312|2400|500,11104,5,image/hero_icon/hero_icon1104_date1,,hero_tachie1104_date1,,,1,,1,104,104,g123,jp_activityhero1104,1,2019-8-2-0-0-0,2019-8-21-23-59-59,1,1104,,,2200004,,1,,,,,,,,,,,,1104,Deploy the hero while fighting to make Army units have a chance to deal 2 attacks.,1,,
1105,Alex,Alex the Iron Hand is the current senior Commander of the League's army and the leader of a Polish rebel group during World War II. He lost his left arm in a concentration camp; but his mechanical prosthesis has become his trademark.,Hand of Freedom,,0,Deploy the hero while fighting to make Army units able to ignite enemies.,10,5,1,449,89,151,30,400,356|120|0;356|120|0;356|120|0;356|120|0;1068|360|300,712|240|0;712|240|0;712|240|0;712|240|0;2136|720|400,1068|360|0;1068|360|0;1068|360|0;1068|360|0;3204|1080|400,1424|480|0;1424|480|0;1424|480|0;1424|480|0;4272|1440|500,11105,4,image/hero_icon/hero_icon1105_date1,,hero_tachie1105_date1,,,1,,1,105,105,g123,jp_activityhero1105,1,2019-8-2-0-0-0,2019-8-21-23-59-59,1,1105,,,2200005,,1,,,,,,,,,,,,1105,Deploy the hero while fighting to make Army units able to ignite enemies.,1,,
1106,Sam,Standing at six-foot-six; Sam the Giant Cyclops; now a senior commander of the League Army and formerly the commander of the British Royal Artillery; fought bravely against the German Air Force in the Battle of London.,The Cyclops,四糸乃,0,Deploy the hero while fighting to make enemy Air Force units have a chance to skip their attack.,10,5,2,186,37,414,82,400,148|328|0;148|328|0;148|328|0;148|328|0;444|984|300,296|656|0;296|656|0;296|656|0;296|656|0;888|1968|400,444|984|0;444|984|0;444|984|0;444|984|0;1332|2952|400,592|1312|0;592|1312|0;592|1312|0;592|1312|0;1776|3936|500,11106,4,image/hero_icon/hero_icon1106_date1,,hero_tachie1106_date1,,,1,,1,106,106,g123,jp_activityhero1106,1,2019-8-2-0-0-0,2019-8-21-23-59-59,1,1106,,,2200006,,1,,,,,,,,,,,,1106,Deploy the hero while fighting to make enemy Air Force units have a chance to skip their attack.,1,,
1204,Sid,Sid the Shadow of the Depth is Alex's twin brother; the league's most elite new marine team captain. He specializes in directing troops to modern large-scale landings and boarding operations; landing a fatal blow to the enemy.,Shadow of the Ocean,,1,Deploy the hero while fighting to increase Navy units' AOE damage,10,5,1,470,94,130,26,400,376|104|0;376|104|0;376|104|0;376|104|0;1128|312|300,752|208|0;752|208|0;752|208|0;752|208|0;2256|624|400,1128|312|0;1128|312|0;1128|312|0;1128|312|0;3384|936|400,1504|416|0;1504|416|0;1504|416|0;1504|416|0;4512|1248|500,11204,4,image/hero_icon/hero_icon1204_date1,,hero_tachie1204_date1,,,2,,1,204,204,g123,jp_activityhero1204,1,2019-8-2-0-0-0,2019-8-21-23-59-59,1,1204,,,2200010,,1,,,,,,,,,,,,1204,Deploy the hero while fighting to increase Navy units' AOE damage,1,,
1205,Ganso,Ganso the Turquoise Fortress was nearly killed in a conflict on an island for defending his position to the death. Later he underwent a prosthetic limb makeover with Alex and is currently a staff officer at the League's Naval Operations Department; specializing in directing ships and the island's defensive operations.,Turquoise Fortress,八舞夕弦,0,Deploy the hero while defending to increase units' defending,10,5,1,442,88,158,31,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,11205,4,image/hero_icon/hero_icon1205_date1,,hero_tachie1205_date1,,,2,,1,205,205,g123,jp_activityhero1205,1,2019-8-2-0-0-0,2019-8-21-23-59-59,1,1205,,,2200011,,1,,,,,,,,,,,,1205,Deploy the hero while defending to increase units' defending,1,,
1206,Merida,Assertive and resourceful; the redhead is the top intel agent for the League Navy who is adept at expoiting the enemy's character weakness to create chaos.,Deadly Pepper,,1,Deploy the hero while fighting to give Naval units a chance to disorder enemy Army units causing them to attack each other.,10,5,2,225,45,375,75,400,180|300|0;180|300|0;180|300|0;180|300|0;540|900|300,360|600|0;360|600|0;360|600|0;360|600|0;1080|1800|400,540|900|0;540|900|0;540|900|0;540|900|0;1620|2700|400,720|1200|0;720|1200|0;720|1200|0;720|1200|0;2160|3600|500,11206,4,image/hero_icon/hero_icon1206_date1,,hero_tachie1206_date1,,,2,,1,206,206,g123,jp_activityhero1206,1,2019-8-2-0-0-0,2019-8-21-23-59-59,1,1206,,,2200012,,1,,,,,,,,,,,,1206,Deploy the hero while fighting to give Naval units a chance to disorder enemy Army units causing them to attack each other.,1,,
1304,Nadia,Nadia; an ace pilot in the League Air Force; maintains the proud record of shooting down 467 enemy aircraft. She's dubbed "Skylark" because she prefers to pilot high-speed fighters. So far; she's never been shot down.,Skylark,,2,Deploy the hero while fighting to increase Air Force units' "piercing attack" ability and deal more damage,10,5,1,311,62,289,57,400,248|228|0;248|228|0;248|228|0;248|228|0;744|684|300,496|456|0;496|456|0;496|456|0;496|456|0;1488|1368|400,744|684|0;744|684|0;744|684|0;744|684|0;2232|2052|400,992|912|0;992|912|0;992|912|0;992|912|0;2976|2736|500,11304,4,image/hero_icon/hero_icon1304_date1,,hero_tachie1304_date1,,,3,,1,304,304,g123,jp_activityhero1304,1,2019-8-2-0-0-0,2019-8-21-23-59-59,1,1304,,,2200016,,1,,,,,,,,,,,,1304,Deploy the hero while fighting to increase Air Force units' "piercing attack" ability and deal more damage,1,,
1305,Edward,Lieutenant General Edward; now a senior general of the League Air Force; was also a World War II ace pilot. He's dubbed "Wings of Liberty" for his remarkable record on the Pacific front and was particularly adept at directing large-scale operations against ships.,Wing of Freedom,,2,Deploy the hero while fighting to make Air Force units' have a chance to deal crit damage,10,5,1,372,74,228,45,400,296|180|0;296|180|0;296|180|0;296|180|0;888|540|300,592|360|0;592|360|0;592|360|0;592|360|0;1776|1080|400,888|540|0;888|540|0;888|540|0;888|540|0;2664|1620|400,1184|720|0;1184|720|0;1184|720|0;1184|720|0;3552|2160|500,11305,4,image/hero_icon/hero_icon1305_date1,,hero_tachie1305_date1,,,3,,1,305,305,g123,jp_activityhero1305,1,2019-8-2-0-0-0,2019-8-21-23-59-59,1,1305,,,2200017,,1,,,,,,,,,,,,1305,Deploy the hero while fighting to make Air Force units' have a chance to deal crit damage,1,,
1306,Lady Zizak,Lady Zizak; now a senior general of the League Air Force; specializes in directing camouflage operations and has used smoke bombs and camouflage signals to secure a full retreat during an enemy ambush; so she's nicknamed "The Shield of Zeus.",Shield of Zeus,,2,Deploy the hero while fighting to make Air Force units have a chance to immune damage,10,5,2,228,45,372,74,400,180|296|0;180|296|0;180|296|0;180|296|0;540|888|300,360|592|0;360|592|0;360|592|0;360|592|0;1080|1776|400,540|888|0;540|888|0;540|888|0;540|888|0;1620|2664|400,720|1184|0;720|1184|0;720|1184|0;720|1184|0;2160|3552|500,11306,4,image/hero_icon/hero_icon1306_date1,,hero_tachie1306_date1,,,3,,1,306,306,g123,jp_activityhero1306,1,2019-8-2-0-0-0,2019-8-21-23-59-59,1,1306,,,2200018,,1,,,,,,,,,,,,1306,Deploy the hero while fighting to make Air Force units have a chance to immune damage,1,,
1109,Bradley9,As the commander of the Armored Army; General Bradley is a militant equipped with both practical knowledge and theoretical understanding. Tywin focuses on infantry and motorized troops for coordinated operations; while Bradley values the fully mechanized forces for mobile operations - always looking for the weaknesses of the opponents. In his theory; the air force and navy support enables him to achieve more. And the army; especially tanks; is the initiator and end of war.9,Battlefield Armor9,金锤大将,0,When the battle begins; your Army units will be covered by armor that will significantly improve its ability to survive on the battlefield.9,10,5,1,311,62,289,57,400,251|225|0;251|225|0;251|225|0;251|225|0;753|675|300,502|450|0;502|450|0;502|450|0;502|450|0;1506|1350|400,753|675|0;753|675|0;753|675|0;753|675|0;2259|2025|400,1004|900|0;1004|900|0;1004|900|0;1004|900|0;3012|2700|500,11109,1,image/hero_icon/hero_icon1109_KONOSUBA,,hero_tachie1109_KONOSUBA,,,1,,1,109,109,g123,jp_activityhero1109,,2021-1-21-0-0-0,2021-1-27-23-59-59,1,2001|2002|2003|2004|2005|2006|2097|2098|2099|2100,,,2200027,,1,,,,,,,,,,,,1109,When the battle begins; your Army units will be covered by armor that will significantly improve its ability to survive on the battlefield.9,1,,
1209,Nimitz,Nimitz is a charismatic officer. He believes that it is necessary to train the body and the mind. Hence; no matter what situation; he gives his troops a strong will to fight. In the early stages of the war; he commanded the Navy and ambushed the Dark Legion's supply vessels; causing a lot of trouble to Dark Legion naval fleet.,Knight of the Sea,11月联动英雄称号,1,When using this hero in battle; your Naval Units' survivability will be greatly increased.,10,5,1,475,95,125,25,400,380|100|0;380|100|0;380|100|0;380|100|0;1140|300|300,760|200|0;760|200|0;760|200|0;760|200|0;2280|600|400,1128|312|0;1128|312|0;1128|312|0;1128|312|0;3384|936|400,1520|400|0;1520|400|0;1520|400|0;1520|400|0;4560|1200|500,10209,1,image/hero_icon/hero_icon1209_KASTUKAMI_1,,hero_tachie1209_KASTUKAMI,image/hero_icon/black_hero_icon1209,No. 1209,2,,1,,209,,jp_activityhero209,1,,,2,2057|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2071,,1,2200031,,,,,,,,1|1;4|1,,,,,,1209,Send this hero to battle to significantly increase the ATK of your Naval units,1,,
1309,Sauvage,Sauvage was an orphan who grew up in the army and was sent to the Air Force Academy at the age of 16. During his studies; he not only learned a wealth of aviation knowledge; but also met his mentor Edward. He learned rich experience about how air forces fight against the enemy. He will exceed his mentor one day.,Rapid Lightning,12月联动英雄称号,2,When this hero enters the battlefield; our Air Force troops will deal damage to massive enemy targets; and can damage additional targets.,10,5,1,468,95,132,25,400,379|101|0;379|101|0;379|101|0;379|101|0;1131|309|300,758|202|0;758|202|0;758|202|0;758|202|0;2262|618|400,1137|303|0;1137|303|0;1137|303|0;1137|303|0;3393|927|400,1516|404|0;1516|404|0;1516|404|0;1516|404|0;4524|1236|500,11309,3,image/hero_icon/hero_icon1309_KYOJIN,,hero_tachie1309_KYOJIN,,,3,,1,309,309,g123,jp_activityhero1309,1,2020-10-29-0-0-0,2020-11-04-23-59-59,1,2011|2012|2013|2014|2015|2016,,,2200030,,1,,,,,,,,,,,,1309,When this hero enters the battlefield; our Air Force troops will deal damage to massive enemy targets; and can damage additional targets.,1,,
209,hero_name209,hero_desc209,hero_label209,11月联动英雄称号,1,When using this hero in battle; your Naval Units' survivability will be greatly increased.,10,5,1,475,95,125,25,400,380|100|0;380|100|0;380|100|0;380|100|0;1140|300|300,760|200|0;760|200|0;760|200|0;760|200|0;2280|600|400,1128|312|0;1128|312|0;1128|312|0;1128|312|0;3384|936|400,1520|400|0;1520|400|0;1520|400|0;1520|400|0;4560|1200|500,11209,1,image/hero_icon/hero_icon209_KASTUKAMI,,hero_tachie209_KASTUKAMI,,,2,,1,1209,1209,g123,jp_activityhero1209,1,2019-11-18-0-0-0,2019-11-30-23-59-59,1,2007|2008|2009|2010,,,2200028,,1,,,,,,,,,,,,209,When using this hero in battle; your Naval Units' survivability will be greatly increased.,1,,
110,Bradley,As the commander of the Armored Army; General Bradley is a militant equipped with both practical knowledge and theoretical understanding. Tywin focuses on infantry and motorized troops for coordinated operations; while Bradley values the fully mechanized forces for mobile operations - always looking for the weaknesses of the opponents. In his theory; the air force and navy support enables him to achieve more. And the army; especially tanks; is the initiator and end of war.,Battlefield Armor,战地壁垒,0,When the battle begins; your Army units will be covered by armor that will significantly improve its ability to survive on the battlefield.,10,5,2,175,35,425,85,400,140|340|0;140|340|0;140|340|0;140|340|0;420|1020|300,280|680|0;280|680|0;280|680|0;280|680|0;840|2040|400,420|1020|0;420|1020|0;420|1020|0;420|1020|0;1260|3060|400,560|1360|0;560|1360|0;560|1360|0;560|1360|0;1680|4080|500,10110,1,image/hero_icon/hero_icon110,,hero_tachie110,image/hero_icon/black_hero_icon110,No. 110,1,,1,,,,,,,,2,2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2038|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2085,,1,,,,,,,,,,,,,,,110,When the battle begins; your Army units will be covered by armor that will significantly improve its ability to survive on the battlefield.,1,,
210,Katrina,Katrina was one of the few female pirates in the world. She actually dared to plunder the fleet of the Dark Empire - so she was listed on the most wanted list of the Dark Legion; which forced her to join the Freedom League. Many people insist that a pirate is not trustworthy; but this does not prevent Katrina from becoming one of the best soldiers fighting against the Dark Legion.,Queen of the Ocean,海上女王,1,Send her to battle to increase the Attack and HP of your naval units,10,5,1,319,64,281,56,400,256|224|0;256|224|0;256|224|0;256|224|0;768|672|300,512|448|0;512|448|0;512|448|0;512|448|0;1536|996|400,768|672|0;768|672|0;768|672|0;768|672|0;3072|1992|400,1024|896|0;1024|896|0;1024|896|0;1024|896|0;3072|2688|500,10210,6,image/hero_icon/hero_icon210,,hero_tachie210,image/hero_icon/black_hero_icon210,No. 210,2,,1,,,,,,,,2,2002|2003|2004|2005|2006|2007|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2063,,1,,,,,,,,,1|1;4|1,,feng_effect,,,,210,Send her to battle to increase the Attack and HP of your naval units,1,,
211,Bellevue,Bellevue is not a theoretical person; she believes in practical experience; where she gains her commanding ability. Three years ago; her family members was captured; tortured and killed by the Dark Legion; Bellevue vowed to fight them to the death. She led the survivors and established a local guerrilla. After the Dark Legion retreated from her hometown; Bellevue joined the Freedom League and became one of the core commanders; continuing to fulfill her promise.,Sea Hunter,海之寻猎者,1,When this hero participates in battle; the navy's attack ability is greatly improved.,10,5,1,460,92,140,28,400,368|112|0;368|112|0;368|112|0;368|112|0;1104|336|300,736|224|0;736|224|0;736|224|0;736|224|0;2208|672|400,1104|336|0;1104|336|0;1104|336|0;1104|336|0;3312|1008|400,1472|448|0;1472|448|0;1472|448|0;1472|448|0;4416|1344|500,10211,1,image/hero_icon/hero_icon211,1,hero_tachie211,image/hero_icon/black_hero_icon211,No. 211,2,,1,1210,1210,,jp_activityhero211,,,,2,2002|2003|2004|2005|2006|2007|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2070,,1,2200034,,,Idle2,Idle1,,,,,,,,,,211,When this hero participates in battle; the navy's attack ability is greatly improved.,1,,
1210,Delhuyar0,Marie Delhuyar's father is a well-known mineralogist in the Freedom League. A dedicated scholar who has been working away from home for a long time. Marie grew up without love and attention and gave up her chance to go to college choosing to join the army instead. She wanted to find out why her father was so obsessed with those stones. The same year; Marie's father discovered the existence of Odinium. He was exposed to a lot of radiation; which caused him to get ARS. After realizing the importance of her father's finding; Marie continued her father's studies on Odinium.0,The Prospector0,,1,Delhuyar is pretty good at gathering; especially for gathering the Odinium.0,10,5,1,460,92,140,28,400,368|112|0;368|112|0;368|112|0;368|112|0;1104|336|300,736|224|0;736|224|0;736|224|0;736|224|0;2208|672|400,1104|336|0;1104|336|0;1104|336|0;1104|336|0;3312|1008|400,1472|448|0;1472|448|0;1472|448|0;1472|448|0;4416|1344|500,11210,4,image/hero_icon/hero_icon1210_Godzilla,,hero_tachie1210_Godzilla,,,2,,1,211,211,g123,jp_activityhero1210,1,2020-02-13-0-0-0,2020-02-26-23-59-59,1,2017,,,2200035,,1,,,,,,,,,,,,1210,Delhuyar is pretty good at gathering; especially for gathering the Odinium.0,1,,
310,Arthur Harris,Arthur Harris was not taken seriously before the Air Forces won any battles. But now; as the founder of the Intensive Bombing Strategy; Harris left a deep impression on the highest-ranking military officer. His bomber squad played a strategic role in many battles: they drop bombs over Dark Legion fortresses; battleships; and other facilities. This act; however; also caused civilian casualties; where he got the title the Butcher in the Air. He did accelerate the process of the war though.,The Bomber,轰炸机,2,When your air force enters the battle; it weakens the enemy’s armor and greatly improves your DMG.,10,5,1,480,96,120,24,400,384|96|0;384|96|0;384|96|0;384|96|0;1152|288|300,768|192|0;768|192|0;768|192|0;768|192|0;2304|576|400,1152|288|0;1152|288|0;1152|288|0;1152|288|0;3456|864|400,1536|384|0;1536|384|0;1536|384|0;1536|384|0;4608|1152|500,10310,2,image/hero_icon/hero_icon310,,hero_tachie310,image/hero_icon/black_hero_icon310,No. 310,3,,1,1310,1310,,jp_activityhero310,,,,2,2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2086|2163,,1,2200037,,,,,,,,1|1;4|1,,,,,,310,When your air force enters the battle; it weakens the enemy’s armor and greatly improves your DMG.,1,,
1310,Pop0,Pop and Bob have known each other since they were children. They studyed mechanics from an expert; Vaillant. Vaillant's focus was on building more machines for the Dark Empire; rather than on new inventions. Soon after Bob learned that his studies and creations were being used as war machines by the Dark Empire; he left Vaillant's invention studio but Pop stayed. Years later despite the fact that the empire has fallen; Pop has advanced to the rank of master mechanic.0,The Mechanic0,3月联动英雄称号,2,You'll receive a Pop's Box every time she defeats the Dark Forces; Warhammer; and Throb. When this hero participates in battle; ATK of the first two rows will be increased and her skill gains you rage; which when activated attacks the row with the most number of units (Can't use universal shards to upgrade her; nor can she perform the Perk Exchange)0,10,5,1,480,96,120,24,400,384|96|0;384|96|0;384|96|0;384|96|0;1152|288|300,768|192|0;768|192|0;768|192|0;768|192|0;2304|576|400,1152|288|0;1152|288|0;1152|288|0;1152|288|0;3456|864|400,1536|384|0;1536|384|0;1536|384|0;1536|384|0;4608|1152|500,11310,2,image/hero_icon/hero_icon1310_Sins,,hero_tachie1310_Sins,,,3,,1,310,310,g123,jp_activityhero1310,1,2020-03-12-0-0-0,2020-03-25-23-59-59,1,2018|2019|2020|2021|2022|2023|2024|2025,,,2200036,,1,,,,,,,,,,,,1310,You'll receive a Pop's Box every time she defeats the Dark Forces; Warhammer; and Throb. When this hero participates in battle; ATK of the first two rows will be increased and her skill gains you rage; which when activated attacks the row with the most number of units (Can't use universal shards to upgrade her; nor can she perform the Perk Exchange)0,1,,
112,Friedman Hertz,Friedman Hertz is the descendant of the famous physicist Heinrich Hertz; one of the core members in Freedom League and a scientific giant who pioneered new understandings of electromagnetism. He used the instrument he invented to trace the hideaway of the Dark Empire; which directed the way for the expedition. Meanwhile; he created the super weapon lab and conducted a research on the 115# underground element - the Odinium.,Electromagnetic Master,4月新英雄,0,After the battle begins; enemies' air force will be paralyzed; DMG taken by enemies will be increased and their normal attack has a chance to fail.,10,5,1,480,96,120,24,400,384|96|0;384|96|0;384|96|0;384|96|0;1152|288|300,768|192|0;768|192|0;768|192|0;768|192|0;2304|576|400,1152|288|0;1152|288|0;1152|288|0;1152|288|0;3456|864|400,1536|384|0;1536|384|0;1536|384|0;1536|384|0;4608|1152|500,10112,2,image/hero_icon/hero_icon112,,hero_tachie112,image/hero_icon/black_hero_icon112,No. 112,1,,1,1212,1212,,jp_activityhero112,,,,2,2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2110,,1,2200038,,,,,,,,,,,,,,112,After the battle begins; enemies' air force will be paralyzed; DMG taken by enemies will be increased and their normal attack has a chance to fail.,1,,
1212,Delhuyar2,Marie Delhuyar's father is a well-known mineralogist in the Freedom League. A dedicated scholar who has been working away from home for a long time. Marie grew up without love and attention and gave up her chance to go to college choosing to join the army instead. She wanted to find out why her father was so obsessed with those stones. The same year; Marie's father discovered the existence of Odinium. He was exposed to a lot of radiation; which caused him to get ARS. After realizing the importance of her father's finding; Marie continued her father's studies on Odinium.2,The Prospector2,,0,Delhuyar is pretty good at gathering; especially for gathering the Odinium.2,10,5,1,480,96,120,24,400,384|96|0;384|96|0;384|96|0;384|96|0;1152|288|300,768|192|0;768|192|0;768|192|0;768|192|0;2304|576|400,1152|288|0;1152|288|0;1152|288|0;1152|288|0;3456|864|400,1536|384|0;1536|384|0;1536|384|0;1536|384|0;4608|1152|500,11212,1,image/hero_icon/hero_icon1212,,hero_tachie1212_MisakaMikoto,,,1,,1,112,112,g123,jp_activityhero1212,,2021-09-30-0-0-0,2021-10-7-0-0-0,1,2026|2027|2028|2029|2030,,,2200040,,1,,,,,,,,,,,,1212,Delhuyar is pretty good at gathering; especially for gathering the Odinium.2,1,,
