ID,desc,condition_item,condition_gold,condition_time,first_reward,reward
182,Walk into the portal,20201046;100,,,,930003;80;She was teleported to a place rich in Odinium veins. Her body was seriously wounded due to inadequate protection.|930005;20;She was teleported to a place rich in Odinium veins. The League may use Odinium to manufacture additional weapons against the Dark Legion.
183,Turn back,20201046;40,,,,930003;100;Caution prompted Delhuyar to leave there.
184,Run away,20201047;5,,,,930005;50;Ricardo escaped the effective range of the explosion in time but the laboratory was destroyed.|930003;50;Ricardo wasn't able to escape.
185,Toss it away,20201047;5,,,,930003;50;He placed the bomb into an explosion-proof container but a piece of shattered metal wounded Ricardo's face severely. He was left with a scar that never completely healed.|930003;50;The bomb exploded in Ricardo's hand before he could toss it.
186,Try defuse it,20201048;3,,,931007;Being a professional; he examined the bomb and successfully halted the countdown after a thorough examination.,930007;50;Being a professional; he examined the bomb and successfully halted the countdown after a thorough examination.|930006;50;Ricardo was unable to properly assess the situation. The bomb exploded.
187,Surrender,20201046;20,,,,930001;100;Although Sam and his men had surrendered; the Dark Legion would not let them go.
188,Stand his ground,20201046;40,,,,930006;30;Sam's troops survived until the arrival of reinforcements.|930001;70;After a few hours of fighting; Sam's team was entirely wiped out. Reinforcements never arrived.
189,Attempt a breakthrough,20201046;200,,,931007;After a tough fight; Sam's crew was able to escape from their enemies.,930007;100;After a tough fight; Sam's crew was able to escape from their enemies.
190,Accept the offer,20201048;10,,,931009;Tsuru's homeland was well protected by the League after she joined them.,930009;100;Tsuru's homeland was well protected by the League after she joined them.
191,Consider it,,,1800,,930002;100;Commanders left her village because the frontline needed fighters.
192,Accept the offer,20201048;10,,,931009;Soon he united all the local gangs and became the boss.,930009;100;Soon he united all the local gangs and became the boss.
193,Consider it,,,1800,,930002;100;The gang kidnapped Ben's mother and Ben had to take a risk to rescue his mother.
194,Accept the offer,20201048;10,,,931009;He was promoted and assigned to the Allied Air Command after completing the mission.,930009;100;He was promoted and assigned to the Allied Air Command after completing the mission.
195,Consider it,,,1800,,930002;100;Dante eventually declined them and spent 10 years in jail.
200,Buy whatever she's selling,20201047;20,,,931006;The girl was happy and gave you the following rewards in return and left.,930006;100;The girl was happy and gave you the following rewards in return and left.
201,Give her your shoes and coat,20201046;40,,,,930004;50;She took the shoes with a smile. She gave you the following rewards in return.|930001;50;The girl made it home safely; but you got frostbite.
202,Give her some money,20201047;5,,,,930004;100;The girl accepted the money. She bought a meal to share with you and then handed you the following rewards.
203,Say hello to her,20201047;5,,,,930004;100;The girl was excited to be greeted by you and gave you some wildflowers and rewards.
204,Explain the threat,20201046;40,,,,930004;50;You and the girl rushed to grandma's. You saw a wolf was going to eat her granny. You grabbed some stones and attacked the wolf.|930002;50;You're a stranger and she doesn't trust you. She refused to speak to you.
205,Visit her grandma with her,20201048;3,,,931008;As you made your way to Grandma's; you encountered a hunter. The hunter joined and revealed the wolf's disguise and shot it!,930008;100;As you made your way to Grandma's; you encountered a hunter. The hunter joined and revealed the wolf's disguise and shot it!
206,Toss away the apples,20201046;40,,,,930005;40;The old woman was angry. Soon the dwarfs returned to the wooden cabin and revealed the witch's real face. The witch fled.|930003;60;The princess was confused; but picked up an apple and nibbled it... she then fell into a coma.
207,Warn the princess,20201047;20,,,931006;Your warning distracted the princess; she dropped the apple to the ground and it dissolved. "I will be back!" the witch said and fled.,930006;100;Your warning distracted the princess; she dropped the apple to the ground and it dissolved. "I will be back!" the witch said and fled.
208,Walk away,20201047;5,,,,930003;100;The princess ate the apple and went into a coma after you left. The old woman rewarded you for your silence.
209,Shouted "the king has nothing on.",20201047;5,,,,930003;100;The king's face was flush with fury. You were imprisoned and punished.
210,Publicized the trick,20201047;20,,,931006;The king imprisoned the liar and rewarded you for exposing the scam.,930006;100;The king imprisoned the liar and rewarded you for exposing the scam.
211,Meet the king in the palace to tell him the truth,20201046;40,,,,930005;30;The king was enraged after learning the truth. He admired your talents and invited you to stay in the country.|930002;70;The king thought you were lying and put you in prison.
212,Ask her "What slew none; and yet slew twelve?",20201048;3,,,931007;The princess considered the answer for a long time but came up with nothing. You married the princess!,930007;100;The princess considered the answer for a long time but came up with nothing. You married the princess!
213,Ask her "What goes on four feet in the morning; two feet at noon; and three feet in the evening?",20201046;40,,,,930005;50;The princess found the answer after two days: A person. But it was too late; the princess rewarded you the following.|930001;50;The princess easily found the answer: A person.
214,Praise the princess' beauty,20201046;40,,,,930004;100;The princess expressed her gratitude and you were treated with the utmost respect.
215,Stand by,20201046;40,,,,930004;50;After the Trolls left you moved forward and found that the master of death was defeated. You found some loot.|930001;50;After defeating the trolls; the Master of Death turned and walked toward you....
216,Wait till the battle ends,20201047;20,,,,930005;100;The master of death was weak after the battle. You provided some care. He gave you some rewards and disappeared.
217,Help the trolls,20201047;20,,,931006;While the Trolls were astonished by your actions; they quickly destroyed the Master of Death and awarded you the prize.,930006;100;While the Trolls were astonished by your actions; they quickly destroyed the Master of Death and awarded you the prize.
218,"The golden one;" You answered.,20201046;40,,,,930003;50;"Shame" he muttered and vanished. Depressed; you were about to walk away but unexpectedly notice the following items under your feet.|930004;50;He gave you a strange look; paused; then tossed you a golden axe and sped off.
219,"Neither of them;" You answered.,20201048;3,,,931007;He was satisfied with your response and praised your honesty. He rewarded you with the following.,930007;100;He was satisfied with your response and praised your honesty. He rewarded you with the following.
220,You remained silent.,20201046;40,,,,930004;100;You were scared by the old man who pushed you into the river. There you discovered a rusted axe and some rewards. When you got out of the water; he was gone.
221,It was Cinderella's sister,20201046;40,,,,930001;50;No matter how hard she tried; Cinderella's sister couldn't get the crystal shoe on. The enraged prince imprisoned you.|930003;50;The prince hesitated but he put it on Cinderella's sister's foot and found it fit perfectly. They lived unhappily ever after.
222,The girl was Cinderella,20201048;3,,,931007;Cinderella was discovered shortly after the prince followed your instruction. And they lived happily ever after.,930007;100;Cinderella was discovered shortly after the prince followed your instruction. And they lived happily ever after.
223,Nothing,20201046;40,,,,930004;100;Later; he found Cinderella and invited the most renowned merchants to his wedding; you included.
224,Discard the dagger,20201046;40,,,,930003;100;A whirling cloud of foam replaced the mermaid as the sun rose.
225,Stab the prince,20201046;40,,,,930004;50;Upon stabbing the prince in the chest; her feet transformed into a fishtail and her singing voice returned. Her sisters and her dove into the ocean never to be seen again.|930001;50;She was tormented by remorse for the rest of her life and eventually died of sadness.
226,Do what you want to do,20201048;3,,,931007;In the aftermath of stabbing the prince; she was haunted by her guilt and stabbed herself as well. They became two beautiful swans and lived happily ever after.,930007;100;In the aftermath of stabbing the prince; she was haunted by her guilt and stabbed herself as well. They became two beautiful swans and lived happily ever after.
227,I lost them,20201046;40,,,,930004;50;Pinocchio's nose grew two inches longer.|930001;50;Pinocchio's legs shrunk an inch.
228,I swallowed them,20201046;40,,,,930003;50;Pinocchio's legs shrunk an inch.|930001;50;Pinocchio's nose grew two inches longer.
229,They are in my pocket,20201048;3,,,931007;The fairy called a woodpecker; and with the help of the woodpecker; Pinocchio's nose went back to normal.,930007;100;The fairy called a woodpecker; and with the help of the woodpecker; Pinocchio's nose went back to normal.
230,The left one,20201046;40,,,,930003;100;You snatched a dog with big eyes and sat him on the witch's apron. You also found a chest filled with copper coins.
231,The middle one,20201046;40,,,,930002;100;You snatched a dog with big eyes and sat him on the witch's apron. You found a chest filled with silver coins.
232,The right one,20201047;20,,,931006;You snatched a dog with big eyes and sat him on the witch's apron. You found a chest filled with gold coins.,930006;100;You snatched a dog with big eyes and sat him on the witch's apron. You found a chest filled with gold coins.
233,Ignore the fairy,20201047;5,,,,930003;100;Tin soldier ignored the warning and was blown away by a strong wind. Once he returned home; the young master tossed him in the fire because he was damaged.
234,Fight the fairy,20201047;20,,,,930004;60;The tin soldier and the small fairy's fight knocked down the dancing doll. The young master placed the doll on another table. The tin soldier now could look upon her from afar.|930007;40;The tin soldier and the small fairy's fight knocked down the dancing doll. The young master placed the doll next to the tin soldier and they lived happily ever after.
235,Listen to the fairy,20201046;40,,,,930003;100;Tin Soldier took the advice and controlled his emotions. Soon the young master took away the dancing doll and the tin soldiers never saw her again.
236,Build catapults,20201047;5,,,,930003;100;The great king wasn't in the attack range of his catapults; so the prince failed.
237,Build a flying ship,20201047;5,,,,930001;100;He prepared a massive fleet to fly towards the great king. The prince was defeated by the great king's mosquitoes and surrendered.
238,Build a high tower,20201048;2,,,,930007;50;The prince built a tower and led his men up the tower. Soon the overwhelming weight brought it down.|930008;50;His troops followed him up the tower. But as he climbed the tower; the prince felt calm and peace and thus retired his plan.
239,Draw a python that swallowed an elephant,20201047;5,,,,930004;100;"I don't want a python with an elephant in its stomach;" the prince yelled.
240,Draw a sheep,20201047;5,,,,930003;100;The little prince didn't like the pilot's sheep; it looked very sick.
241,Draw a box with vents,20201047;5,,,931004;The sheep the prince desired was in the box. He liked the pilot's artwork.,930004;50;The sheep the prince desired was in the box. He liked the pilot's artwork.|930003;50;The prince didn’t understand the pilot's drawing and left.
242,To look for a ladder,20201047;5,,,,930004;100;The prince couldn't find a ladder that was tall enough; it made him upset. He rode away on his horse.
243,To yell,20201046;40,,,,930003;50;There was no response from the tower no matter what the prince yelled. The prince rode away on his horse.|930001;50;The prince was too loud and attracted the guards. He was taken to prison.
244,To wait patiently,20201048;2,,,931007;The witch came in at night and climbed up to the top. After she left; you used the same way she did and eventually made it to the top.,930007;100;The witch came in at night and climbed up to the top. After she left; you used the same way she did and eventually made it to the top.
245,Ignored the snake,20201046;40,,,,930003;100;He disregarded it. The snake bit him as he was leaving the cave.
246,Slayed the snake,20201046;40,,,931004;He killed the snake and another came up with three leaves. These were the magical leaves that can resurrect the dead. He ran home with the leaves.,930004;30;He killed the snake and another came up with three leaves. These were the magical leaves that can resurrect the dead. He ran home with the leaves.|930001;70;After killing the snake; a group of angry snakes appeared at the entrance of the cave. He was surrounded...
247,Spared the snake a piece of bread,20201047;5,,,,930004;100;Snakes do not eat bread. It bit the man instead.
248,Some clothes,20201046;40,,,,930003;100;These clothes will keep the kids warm for the winter.
249,A Christmas dinner,20201047;5,,,,930004;50;The kids were grateful and ate up the food.|930003;50;The kids were grateful and ate up the food but got choked up from eating too fast.
250,Some story books,20201046;100,,,931005;The kids enjoyed the book and learned a lot from the stories.,930005;100;The kids enjoyed the book and learned a lot from the stories.
251,Ignored her,20201048;2,,,931007;He rejected the witch's help and found his way out of the forest at dawn.,930007;100;He rejected the witch's help and found his way out of the forest at dawn.
252,Married her daughter,20201047;5,,,,930004;50;He accepted the witch's help and married her daughter.|930001;50;He accepted the witch's help and married her daughter; there was no way out of the forest for him ever.
253,Pulled out his sword,20201047;5,,,,930003;100;The witch immediately cast a spell to trap the king in the forest forever.
254,Traded it for a goose,20201046;40,,,,930003;100;Despite the fact that a goose is worth less than a horse; this goose was a decent meal.
255,Traded it for a sheep,20201048;3,,,931008;Milk; cheese; and wool socks. They enjoyed this trade.,930008;50;Milk; cheese; and wool socks. They enjoyed this trade.|930007;50;The old couple ate the well-roasted lamb.
256,Traded it for a chicken,20201046;40,,,,930001;100;He wasn't happy with the chicken. The old man traded it for a bag of rotten apples and was beaten up by his wife.
257,Accepted the lion's demand,20201047;20,,,931007;The businessman handed his youngest daughter to the lion. His daughter soon realized the lion was a prince who was cursed by a witch. They soon fell in love.,930007;40;The businessman handed his youngest daughter to the lion. His daughter soon realized the lion was a prince who was cursed by a witch. They soon fell in love.|930003;60;The businessman saw you standing right there as he was about to leave. He now intends to bring you to his house...
258,Pretended to accept the lion's demand,20201047;10,,,,930004;100;The businessman returned home and ignored the lion's demand; but the lion visited his house every night. He was forced to move away.
259,Fought the lion,20201046;60,,,,930003;100;The businessman battled furiously with the lion. He was defeated and got eaten.
260,Refused the frog's offer,20201046;40,,,,930001;50;The princess doesn't want to be friends with the ugly frog. She couldn't find the golden ball and sobbed herself to sleep.|930004;50;The princess ordered the guards to catch the talking frog and sold it to the circus for some money.
261,Accepted the frog's offer,20201046;40,,,931004;The frog was able to break the curse and return to his human form after finding the princess' golden ball. They quickly became close.,930004;100;The frog was able to break the curse and return to his human form after finding the princess' golden ball. They quickly became close.
262,Asked a guard for help,20201046;40,,,,930004;100;The golden ball was found by the guards and the frog jumped away in despair.
263,Sucked out the poisonous blood,20201046;40,,,,930003;100;The little brother passed out as he tried to suck out the blood.
264,Cut her open so that the poisonous blood can flow out,20201046;40,,,,930003;50;The sister slowly woke up as the blood flowed out of the cut. They embarked on a journey to find the deer again.|930001;50;The blood flowed out but the sister remained unconscious. She died and slept eternally.
265,Cried for help,20201048;3,,,931008;As soon as the sacred deer heard the younger brother's cries for help; it rushed over to save his sister.,930008;100;As soon as the sacred deer heard the younger brother's cries for help; it rushed over to save his sister.
266,Argued with the king,20201047;5,,,931005;The king set a two-day deadline for him to find the ring. Following the speech of animals; the servant was able to find the ring in the goose's stomach.,930005;100;The king set a two-day deadline for him to find the ring. Following the speech of animals; the servant was able to find the ring in the goose's stomach.
267,Admitted it,20201047;5,,,,930004;100;He confessed and was sent to jail.
268,Told the king his ability,20201047;5,,,,930003;50;The king appointed him minister of animals and asked him to manage animals in the country.|930003;50;The king realized that the servant stole the snake flesh. The angry king banished him from the kingdom.
269,Held onto the fish,20201047;5,,,,930005;50;The talking fish was popular and attracted many customers. He then made enough money to move out of the poor fishing village.|930001;50;Customers loved the talking fish; But when he made enough money to live a new life he was murdered by robbers.
270,Released the fish,20201047;10,,,931006;In return; the fish fulfilled the fisherman's wishes.,930006;100;In return; the fish fulfilled the fisherman's wishes.
271,Ate the fish,20201047;5,,,,930003;100;When the fisherman awoke the following day he became a fish.
272,Asked a highland troll for help,20201048;3,,,931008;The highland troll posed as an attacker; the mountain troll successfully defended the village; gaining the respect and friendship of the locals.,930008;50;The highland troll posed as an attacker; the mountain troll successfully defended the village; gaining the respect and friendship of the locals.|930007;50;They planned to make a "troll saved the village from another troll" scene; but the locals fought both because they couldn't distinguish between the trolls.
273,Invited humans to a tea party,20201046;40,,,,930002;100;The mountain troll prepared pastries and boiled tea to welcome the people. The locals on the other hand; avoided him did not come.
274,Went to the village to find people,20201046;40,,,,930003;100;The villagers fled as soon as they saw the mountain trolll. He was pretty upset.
275,Cursed him,20201046;40,,,,930001;100;The huntsman told the old man to leave; but later he was distracted and an axe fell on his leg.
276,Ignored him,20201046;40,,,,930003;100;The old man frightened the huntsman. The huntsman left there and nothing happened.
277,Gave him what he wanted,20201046;100,,,,930001;50;The kind huntsman gave the old man some food. The old man enjoyed the food too much and forgot to tell the huntsman where the buried jewels were.|930005;50;The kind huntsman gave the old man some food. The old man thanked him by telling him the location of a treasure.
278,Gave her some water,20201048;3,,,931008;The kind girl cleaned the bucket and gave the lady the cleanest water. She became blessed; jewels and gems tumbling out of her mouth whenever she speaks.,930008;100;The kind girl cleaned the bucket and gave the lady the cleanest water. She became blessed; jewels and gems tumbling out of her mouth whenever she speaks.
279,Gave her the bucket and told her to help herself,20201046;40,,,,930002;100;The girl dropped the bucket and told the lady to get water by herself. She was cursed and snakes tumble out of her mouth whenever she speaks.
280,Ignored her,20201046;40,,,,930003;100;To get home before nightfall; the girl ignored the old woman's request and rushed home after fetching the water.
281,Traded the horse for beans,20201048;4,,,931008;A tall beanstalks soared into the sky. Jack climbed the beanstalks and found a goose that lays golden eggs in the sky castle. His family lived happily ever after.,930008;100;A tall beanstalks soared into the sky. Jack climbed the beanstalks and found a goose that lays golden eggs in the sky castle. His family lived happily ever after.
282,Ignored the old man,20201047;10,,,,930004;100;He didn't notice the old man and sold the horse at a good price.
283,Asked him if there was anything else,20201046;40,,,,930001;50;The old man handed him 50 coins.|930003;50;The old man had nothing else to trade so Jack went to the market.
284,Capture the witch,20201047;5,,,,930001;100;But the witch escaped and the princess was cursed.
285,Order the destruction of all spindles and spinning wheels,20201047;20,,,,930003;60;The princess grew up slowly. One day she found an undestroyed spindle; the moment she picked it up she fell into a deep sleep.|930007;40;All spindles vanished from the kingdom; not even explained in dictionaries and the princess lived a happy life.
286,Beg the witch for forgiveness,20201047;5,,,,930004;100;He begged for forgiveness from the witch; but the spell had already been cast and there was no way to reverse it.
287,A crocodile,20201046;40,,,,930003;100;Wrong answer. The king offered you the following rewards.
288,A wolf,20201046;40,,,,930003;100;Wrong answer. The king offered you the following rewards.
289,A flea,20201047;20,,,,930004;40;Your answer was absolutely right but still the king denied you. You left furiously.|930007;60;Your answer was absolutely right and you are permitted to marry the princess.
290,Do what she says.,20201048;10,,,931009;As the seed grew into a blossoming flower; a little girl sat in its center; and the woman's desire came true.,930009;100;As the seed grew into a blossoming flower; a little girl sat in its center; and the woman's desire came true.
291,Careful; that's a witch.,,,1800,,930002;100;The seed's viability has diminished over time.
292,Tried the password after the gatekeeper left,20201048;10,,,931009;"Open Sesame"; the gate opened. The young man returned home with treasure sacks.,930009;100;"Open Sesame"; the gate opened. The young man returned home with treasure sacks.
293,Waited for his companions,,,1800,,930002;100;His friends finally came after a long wait but the guard had returned.
294,Wipe the lamp,20201048;10,,,931009;The genie emerged and fulfilled Aladdin's wishes.,930009;100;The genie emerged and fulfilled Aladdin's wishes.
295,Look for other treasures,,,1800,,930002;100;Aladdin spent too much time and the door closed.
