id,local_key,local_key_to,text_raw,text_to,para1,para2
151,The War Hall is for setting up troops and viewing reinforcements. Upgrade it to unlock the Military Exercises and compete with other commanders!,,,戦争ロビーでは防衛ユニットの設定やユニット編成の登録が行えるんよ。一定レベルを超えると軍事演習も解禁されるから、そっちも楽しみやね～！,2021-5-6-0-0-0,2021-5-19-23-59-59
152,The Alliance Fortress is the basic building in the territory; and it is the core area for allies to gather and establish strategies! Build a Fortress for the Alliance now!,,,連盟要塞を建てると連盟領地を拡大できるんよ。連盟のみんなで協力して、ゴリゴリ拡大していこう！,2021-5-6-0-0-0,2021-5-19-23-59-59
153,Commander; you need to place the units in your base before they can participate in the battle.,,,獲得したユニットはバッグから使用することで基地内に設置できるんよ,2021-5-6-0-0-0,2021-5-19-23-59-59
154,g123_tutorial_008,,,さっすが司令官！敵を倒すことができたね！,2021-5-6-0-0-0,2021-5-19-23-59-59
155,g123_tutorial_009,,,今の戦いでティナちゃんが仲間になったよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
156,g123_newguild_11,,,クリアほんにおめでとう！エリアのクリア報酬で新しいユニットがもらえたんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
157,g123_tutorial_010,,,あっ！人が倒れとる！助けんと！,2021-5-6-0-0-0,2021-5-19-23-59-59
158,g123_tutorial_name_01,,,フレイア,2021-5-6-0-0-0,2021-5-19-23-59-59
159,g123_tutorial_name_02,,,フレイア,2021-5-6-0-0-0,2021-5-19-23-59-59
160,g123_tutorial_name_03,,,フレイア,2021-5-6-0-0-0,2021-5-19-23-59-59
161,g123_tutorial_name_04,,,フレイア,2021-5-6-0-0-0,2021-5-19-23-59-59
162,Marshal - World Boss,g123_link_worldboss,,,2022-02-10-0-0-0,2022-02-23-23-59-59
163,Admiral - World Boss,g123_link_worldboss,,,2022-02-10-0-0-0,2022-02-23-23-59-59
164,General - World Boss,g123_link_worldboss,,,2022-02-10-0-0-0,2022-02-23-23-59-59
165,107261,g123_link_worldboss,,,2022-02-10-0-0-0,2022-02-23-23-59-59
166,107262,g123_link_worldboss_des_1,,,2022-02-10-0-0-0,2022-02-23-23-59-59
167,The Marshal of the Dark Army riding on a deadly warbot. Defeat him to get Component Chests.,g123_link_worldboss_des_2,,,2022-02-10-0-0-0,2022-02-23-23-59-59
168,The Admiral of the Dark Navy riding on a deadly warbot. Defeat him to get Component Chests.,g123_link_worldboss_des_3,,,2022-02-10-0-0-0,2022-02-23-23-59-59
169,The General of the Dark Air Force riding on a deadly warbot. Defeat him to get Component Chests.,g123_link_worldboss_des_4,,,2022-02-10-0-0-0,2022-02-23-23-59-59
